RefSeq,D_idx,Distance_bp,Distance_pc
NC_012559,0,913,0
NZ_CP021997,0,15322,0
NZ_CP021997,1,17031,0
NC_014817,0,1353,0
NZ_CP022315,0,3754,0
NZ_CP022315,1,1997,0
NC_002179,0,3328,0
NC_021848,0,2643,0
NC_021179,0,1075,0
NZ_CP023395,0,566,0
NZ_CP023395,1,2985,0
NC_007519,0,11888,0
NC_002695,0,1789,0
NC_008819,0,87,0
NZ_CP022477,0,30077,0
NZ_CP022477,1,31825,0
NC_022529,0,9389,0
NC_009659,0,75017,1
NZ_CP007669,0,5591,0
NC_008255,0,55106,1
NZ_CP013439,0,25897,0
NZ_CP013439,1,27779,0
NZ_CP009494,0,468,0
NZ_CP009494,1,1600,0
NZ_CP025029,0,12473,0
NZ_CP025029,1,14016,0
NC_010804,0,61354,1
NC_005966,0,392,0
NC_015730,0,107651,2
NC_017632,0,1664,0
NC_016810,0,2685,0
NC_017046,0,2685,0
NC_021882,0,253933,15
NC_021882,1,252402,15
NC_021219,0,11556,1
NZ_CP023752,0,897,0
NZ_CP023752,1,2601,0
NC_006055,0,0,0
NC_009785,0,722,0
NC_008245,0,1633,0
NC_002163,0,8494,0
NC_019537,0,89041,4
NC_015663,0,1523,0
NZ_LN614756,0,26327,0
NZ_LN614756,1,24558,0
NC_007434,0,60765,1
NC_023137,0,42136,1
NC_019954,0,4797,0
NC_017167,0,1445,0
NZ_CP021864,0,12472,0
NZ_CP021864,1,14015,0
NC_023076,0,25417,0
NC_017911,0,735,0
NZ_CP022475,0,6401,0
NZ_CP022475,1,4679,0
NC_022361,0,18820,0
NZ_CP008896,0,14651,0
NZ_CP024635,0,2294,0
NZ_CP024635,1,532,0
NZ_CP025028,0,12473,0
NZ_CP025028,1,14016,0
NC_009381,0,1499,0
NC_007643,0,92225,2
NZ_CP025308,0,3320,0
NZ_CP025308,1,1577,0
NC_016745,0,3336,0
NC_018691,0,2300,0
NC_019940,0,2100,0
NZ_CP007561,0,1257,0
NC_013061,0,14028,0
NC_018527,0,2963,0
NZ_AP014839,0,7791,0
NC_008709,0,1181,0
NZ_CP023392,0,2222,0
NZ_CP023392,1,3859,0
NC_017733,0,60475,3
NC_017733,1,62030,3
NC_014758,0,5767,0
NC_008576,0,28544,0
NZ_LT906470,0,2836,0
NZ_LT906470,1,744,0
NC_015381,0,33796,0
NZ_CP008857,0,18826,0
NC_009784,0,8674,0
NC_018690,0,437563,17
NC_021810,0,2676,0
NC_007492,0,14985,0
NC_002488,0,8078,0
NC_002506,0,1235,0
NC_010080,0,7034,0
NZ_CP010290,0,815233,43
NC_017992,0,29323,1
NC_017549,0,25820,0
NZ_CP008861,0,27701,0
NC_006461,0,11797,0
NZ_CP008859,0,1655,0
NC_014659,0,10688,0
NZ_CP022891,0,1581,0
NZ_CP022891,1,3329,0
NC_002971,0,187359,9
NC_008820,0,1336731,49
NC_006371,0,5572,0
NC_018410,0,99355,10
NC_006350,0,1137,0
NC_009648,0,1455,0
NC_014145,0,71083,1
NC_018867,0,8,0
NZ_CP013430,0,19238,0
NZ_CP013430,1,28628,0
NZ_LT630287,0,2536,0
NZ_LT630287,1,745,0
NC_008601,0,1088,0
NZ_CP007606,0,13204,0
NZ_CP007606,1,14769,0
NC_014910,0,27611,0
NZ_CP021982,0,210,0
NZ_CP021982,1,2985,0
NC_017094,0,1626,0
NC_003318,0,1472,0
NZ_AP012322,0,5302,0
NC_004129,0,28136,0
NZ_LN831039,0,2095,0
NZ_LN831039,1,4162,0
NC_011896,0,567,0
NC_002620,0,111,0
NZ_CP025027,0,12473,0
NZ_CP025027,1,14016,0
NC_021287,0,67823,2
NZ_CP021863,0,12473,0
NZ_CP021863,1,14016,0
NC_008260,0,547,0
NC_002927,0,15312,0
NC_018672,0,6019,0
NC_007435,0,7027,0
NC_009138,0,32771,0
NC_007958,0,269703,5
NC_007614,0,5837,0
NC_017513,0,35224,1
NC_008027,0,28007,0
NC_014364,0,43,0
NC_005070,0,616,0
NC_009662,0,6177,0
NC_015321,0,2917,0
NZ_CP008852,0,96159,1
NC_021661,0,10284,0
NC_021729,0,9115,0
NZ_CP007514,0,3282,0
NC_022908,0,1591,0
NC_016622,0,62875,2
NC_007512,0,31574,1
NC_009257,0,6834,0
NZ_CP022291,0,9039,0
NZ_CP022291,1,7174,0
NC_017063,0,7131,0
NC_017063,1,5570,0
NC_019815,0,1694,0
NC_007650,0,6900,0
NC_011992,0,34895,0
NC_015637,0,9739,0
NC_006155,0,2783,0
NC_021490,0,1075,0
NC_017027,0,551884,22
NZ_CP009283,0,1973,0
NC_006512,0,9735,0
NZ_CP008744,0,5483,0
NZ_CP008744,1,8862,0
NZ_CP008744,2,1689,0
NC_008835,0,20384,0
NZ_CP024602,0,585,0
NZ_CP024602,1,3175,0
NZ_LT906467,0,13650,0
NZ_LT906467,1,16075,0
NC_015172,0,7978,0
NC_015172,1,6382,0
NZ_CP023391,0,17748,0
NZ_CP023391,1,15880,0
NC_017283,0,9012,0
NZ_CP007605,0,51696,3
NZ_CP007605,1,53254,3
NC_023063,0,1191,0
NZ_LN554884,0,1937,0
NZ_LN554884,1,3790,0
NC_021174,0,16836,0
NC_017560,0,9188,0
NC_005071,0,735654,30
NZ_CP009286,0,3275,0
NC_017328,0,83313,1
NZ_LT604076,0,849,0
NZ_LT604076,1,711,0
NC_022659,0,13379,0
NC_010794,0,14088,0
NC_007624,0,844,0
NC_013523,0,231332,8
NC_012660,0,2191,0
NC_018020,0,1386018,31
NZ_CP022890,0,30047,0
NZ_CP022890,1,31795,0
NC_016002,0,53348,1
NC_018673,0,299,0
NZ_CP023748,0,4128,0
NZ_CP023748,1,5871,0
NC_016012,0,3651,0
NZ_CP009048,0,9182,0
NZ_CP007604,0,13205,0
NZ_CP007604,1,14770,0
NC_017626,0,10260,0
NZ_CP021862,0,12472,0
NZ_CP021862,1,14015,0
NC_014803,0,12229,0
NZ_CP025026,0,12472,0
NZ_CP025026,1,14015,0
NC_010084,0,30093,0
NZ_CP009483,0,4494,0
NZ_CP009483,1,6569,0
NZ_CP008865,0,18594,0
NC_015567,0,1029,0
NC_013971,0,17779,0
NC_014560,0,67283,4
NC_014560,1,68842,4
NC_014307,0,1750,0
NC_008609,0,1938,0
NZ_CP008867,0,18828,0
NC_009254,0,597833,48
NC_018485,0,1567712,41
NC_006570,0,1245,0
NC_007493,0,29061,0
NC_011601,0,1655,0
NC_016818,0,23308,0
NZ_CP024457,0,585,0
NZ_CP024457,1,3176,0
NC_008054,0,78,0
NC_014215,0,13972,0
NZ_CP013420,0,47240,1
NZ_CP013420,1,45359,1
NZ_HG917972,0,999,0
NZ_HG917972,1,1068,0
NC_022904,0,169078,3
NC_002928,0,15330,0
NC_015224,0,3402,0
NC_017566,0,10907,0
NC_009921,0,5256,0
NC_007520,0,62175,2
NC_017492,0,5932,0
NC_014410,0,11694,0
NC_007651,0,1479,0
NZ_CP012907,0,62252,3
NZ_CP012907,1,63811,3
NC_017247,0,147333,12
NC_017316,0,3351,0
NC_017303,0,2869,0
NC_006370,0,14,0
NZ_CP025259,0,1046,0
NZ_CP025259,1,2750,0
NZ_CP007782,0,1825,0
NC_017505,0,31419,1
NC_007964,0,46020,1
NC_011565,0,374362,33
NC_009049,0,29060,0
NZ_CP022474,0,1774,0
NZ_CP022474,1,3496,0
NZ_CP022290,0,17349,0
NZ_CP022290,1,15484,0
NC_006351,0,6493,0
NC_017309,0,1906,0
NC_017269,0,957,0
NZ_CP021976,0,4087,0
NZ_CP021976,1,2345,0
NC_017635,0,1661,0
NZ_CP007603,0,8268,0
NZ_CP007603,1,9832,0
NZ_LT906466,0,4311,0
NZ_LT906466,1,6015,0
NC_017467,0,4830,0
NC_002516,0,18818,0
NC_010681,0,51694,1
NC_006814,0,1240,0
NC_016617,0,137994,4
NC_012793,0,3556,0
NC_019897,0,259324,6
NZ_CP008801,0,999725,21
NC_007633,0,11115,1
NC_003304,0,13522,0
NC_013118,0,9104,0
NZ_HG939456,0,781,0
NZ_HG939456,1,2323,0
NC_021216,0,436017,27
NC_021216,1,434485,27
NC_009482,0,3,0
NC_015138,0,53294,0
NZ_CP012647,0,40626,1
NZ_CP012647,1,38884,1
NZ_CP023729,0,31802,0
NZ_CP023729,1,30055,0
NZ_CP008863,0,18813,0
NZ_CP021838,0,821,0
NZ_CP021838,1,2477,0
NZ_CP012905,0,57802,3
NZ_CP012905,1,59356,3
NC_009997,0,12285,0
NC_018089,0,2516,0
NC_018089,1,56535,2
NC_018089,2,54791,2
NC_018089,3,990499,48
NC_008278,0,18021,0
NC_014814,0,6664,0
NC_014814,1,4604,0
NC_021151,0,2685,0
NZ_AP014627,0,30188,0
NC_013850,0,1416,0
NZ_AP012324,0,54231,2
NZ_LT906464,0,962,0
NZ_LT906464,1,847,0
NC_016614,0,399,0
NC_009654,0,10114,0
NC_022549,0,19872,1
NZ_LT603683,0,33094,0
NZ_LT603683,1,31356,0
NZ_AP012547,0,12370,0
NZ_CP022287,0,3320,0
NZ_CP022287,1,1574,0
NC_023066,0,6615,0
NC_011831,0,7028,0
NC_006513,0,87874,2
NC_015702,0,1151,0
NZ_CP025023,0,4832,0
NZ_CP025023,1,2966,0
NC_022440,0,152,0
NC_007509,0,6076,0
NC_003902,0,114962,2
NC_008060,0,51973,1
NC_012914,0,2325,0
NC_008610,0,4151,0
NC_008782,0,1701,0
NC_017542,0,1821,0
NC_015866,0,8805,0
NC_018528,0,9954,0
NC_008148,0,22553,0
NC_012115,0,15638,0
NC_014624,0,5357,0
NC_006511,0,2677,0
NC_009436,0,1991,0
NZ_CP023390,0,17558,0
NZ_CP023390,1,15690,0
NZ_CP024442,0,3254,0
NZ_CP024442,1,835,0
NC_011595,0,9123,0
NC_006958,0,27332,0
NC_013016,0,26057,1
NC_020063,0,33173,0
NC_009953,0,935,0
NZ_CP022095,0,333264,6
NZ_CP022095,1,335380,6
NC_016609,0,15261,0
NC_014538,0,8414,0
NC_016856,0,2678,0
NC_019907,0,1192,0
NC_012846,0,316,0
NC_021251,0,10,0
NC_005085,0,99644,2
NZ_CP014783,0,4085,0
NZ_CP014783,1,1977588,49
NZ_CP014783,2,987309,24
NZ_CP014783,3,987309,24
NZ_CP022464,0,3576,0
NZ_CP022464,1,1843,0
NZ_LT906462,0,8109,0
NZ_LT906462,1,6409,0
NC_004342,0,1104,0
NZ_CP003915,0,35361,0
NC_018286,0,264,0
NC_011769,0,1462946,36
NC_017255,0,3677,0
NC_011004,0,27378,0
NC_021844,0,18974,0
NC_012973,0,45189,2
NC_012973,1,46747,2
NZ_CP007712,0,373,0
NZ_HG917868,0,3350,0
NZ_HG917868,1,1621,0
NZ_CP008730,0,56135,1
NZ_CP008730,1,48954,1
NZ_CP021677,0,32152,0
NZ_CP021677,1,30405,0
NC_007712,0,43915,1
NC_022793,0,1405,0
NC_021215,0,706710,44
NC_021215,1,708243,44
NC_017583,0,1898,0
NZ_CP022874,0,32619,0
NZ_CP022874,1,30872,0
NZ_CP024998,0,21220,0
NZ_CP024998,1,23086,0
NC_014965,0,1259,0
NC_003317,0,2270,0
NZ_CP023728,0,1458,0
NZ_CP023728,1,3166,0
NC_021822,0,70691,3
NC_021741,0,34020,0
NC_010400,0,6925,0
NC_021591,0,1352,0
NC_022544,0,2683,0
NC_009840,0,29145,1
NZ_CP025258,0,4082,0
NZ_CP025258,1,2338,0
NC_014762,0,89445,3
NC_016513,0,590556,27
NC_009715,0,5293,0
NZ_CP021921,0,4357,0
NZ_CP021921,1,2610,0
NC_017520,0,478,0
NC_006933,0,845,0
NC_013740,0,11575,0
NC_013740,1,10485,0
NC_013740,2,8867,0
NC_013740,3,13261,0
NC_021508,0,1075,0
NZ_CP012370,0,1276,0
NZ_CP012370,1,2773,0
NC_009801,0,1661,0
NZ_CP024413,0,1416,0
NZ_CP024413,1,3124,0
NC_012971,0,54351,1
NC_019955,0,252,0
NC_006526,0,840735,40
NC_008011,0,4451,0
NZ_CP023257,0,4329,0
NZ_CP023257,1,2582,0
NC_018649,0,666,0
NC_016775,0,7139,0
NC_012960,0,18855,13
NC_013959,0,3195,0
NC_013959,1,1679,0
NC_021232,0,212683,4
NC_022535,0,171,0
NC_014618,0,18525,0
NC_021351,0,7005,0
NC_010320,0,1817,0
NC_009077,0,2476,0
NZ_CP007631,0,2326,0
NS_000191,0,253,0
NC_007645,0,2621,0
NC_007510,0,37961,1
NC_008319,0,6517,0
NC_022525,0,2677,0
NC_008390,0,31469,0
NC_009524,0,694,0
NC_008611,0,2050,0
NC_019904,0,81988,1
NC_008767,0,35233,1
NC_011959,0,225754,11
NC_017056,0,9192,0
NZ_CP024974,0,7091,0
NZ_CP024974,1,5475,0
NC_006840,0,4509,0
NZ_CP007562,0,3709,0
NZ_CP012369,0,2740,0
NZ_CP012369,1,4237,0
NZ_AP014613,0,70,0
NZ_CP023643,0,583,0
NZ_CP023643,1,2373,0
NZ_CP006826,0,149579,9
NZ_CP006826,1,151134,9
NZ_CP024969,0,5871,0
NZ_CP024969,1,4281,0
NC_011566,0,5167,0
NC_011891,0,36267,0
NC_017096,0,2242,0
NC_012881,0,13419,0
NC_012578,0,267,0
NZ_CP024968,0,32,0
NZ_CP024968,1,1625,0
NC_022569,0,2678,0
NC_022909,0,10016,0
NC_017095,0,40282,1
NZ_LT906460,0,12251,0
NZ_LT906460,1,10405,0
NZ_LT545678,0,132,0
NZ_LT545678,1,1410,0
NC_010805,0,6660,0
NC_003911,0,3435,0
NC_003197,0,2690,0
NC_013456,0,9856,0
NC_007005,0,64281,1
NC_011989,0,11914,0
NZ_CP022247,0,25113,1
NZ_CP022247,1,26999,1
NC_014216,0,35587,1
NZ_CP024966,0,114,0
NZ_CP024966,1,1481,0
NC_009074,0,2811,0
NC_008313,0,1853,0
NC_021717,0,51455,1
NC_014718,0,5628,0
NC_014844,0,14760,0
NC_015458,0,11226,0
NZ_CP019988,0,36406,1
NC_002977,0,1069,0
NC_009446,0,2901,0
NC_015711,0,32720,0
NC_018695,0,372,0
NC_018707,0,2582,0
NC_015564,0,64078,1
NC_022808,0,2560045,39
NZ_CP024411,0,125,0
NZ_CP024411,1,1470,0
NZ_HG813247,0,1048,0
NZ_HG813247,1,2752,0
NC_021870,0,2491,0
NC_009663,0,7427,0
NC_004347,0,6164,0
NC_018411,0,88639,9
NC_019670,0,14404,0
NZ_CP025256,0,818,0
NZ_CP025256,1,728,0
NZ_CP022206,0,5324,0
NZ_CP022206,1,3775,0
NC_006831,0,7779,0
NC_011000,0,45929,1
NC_011333,0,64684,3
NC_011333,1,66238,4
NZ_CP016780,0,104812,7
NZ_CP016780,1,106581,7
NZ_CP021920,0,15163,0
NZ_CP021920,1,16921,0
NZ_CP021674,0,1336,0
NZ_CP021674,1,425,0
NZ_CP024204,0,3231,0
NZ_CP024204,1,1484,0
NC_016628,0,1069,0
NC_009668,0,863,0
NZ_CP011485,0,5729,0
NZ_CP011485,1,7284,0
NC_014246,0,3866,0
NC_021818,0,2683,0
NC_008149,0,2833,0
NC_020992,0,2600,0
NC_013203,0,13115,0
NC_013203,1,14803,0
NZ_CP022445,0,2868,0
NZ_CP022445,1,1157,0
NC_013422,0,69802,2
NC_007511,0,421,0
NC_009255,0,977,0
NZ_CP008696,0,18140,0
NC_007086,0,111363,2
NC_021181,0,1243,0
NZ_CP016772,0,16770,1
NZ_CP016772,1,15046,1
NC_012032,0,1991027,37
NC_012225,0,969362,32
NC_009504,0,8660,0
NC_008783,0,10724,0
NC_018407,0,108623,11
NC_017043,0,559477,43
NC_016638,0,3246,0
NC_022997,0,151503,4
NZ_CP022088,0,74368,0
NZ_CP022088,1,71563,0
NC_006832,0,6795,0
NZ_HG813242,0,12730,0
NZ_HG813242,1,10852,0
NC_014313,0,291628,8
NC_007777,0,21291,0
NC_006905,0,2690,0
NZ_CP007557,0,30880,0
NC_023045,0,4892,0
NZ_CP009257,0,9539,0
NC_008639,0,23372,0
NC_009831,0,11292,0
NC_013956,0,57731,1
NZ_CP010585,0,54344,1
NC_003361,0,1496,0
NC_009512,0,25095,0
NC_007204,0,515,0
NC_018150,0,189439,4
NZ_LT906454,0,2413,0
NZ_LT906454,1,859,0
NZ_CP023539,0,9495,0
NZ_CP023539,1,11331,0
NC_017294,0,3837,0
NC_010334,0,7644,0
NZ_CP023179,0,2353,0
NZ_CP023179,1,642,0
NC_017278,0,50999,2
NC_007759,0,17241,0
NZ_HG316453,0,4951,0
NZ_HG316453,1,3403,0
NZ_CP006825,0,149584,9
NZ_CP006825,1,151148,9
NC_009707,0,2841,0
NZ_LN999829,0,4001,0
NZ_LN999829,1,2259,0
NC_009438,0,27200,0
NC_003198,0,2693,0
NC_004369,0,101862,3
NC_017540,0,127359,2
NC_018514,0,374228,12
NZ_CP008884,0,3471,0
NC_008343,0,6137,0
NC_002528,0,3678,0
NC_016025,0,9145,0
NZ_CP008739,0,194679,2
NZ_CP024955,0,2783,0
NZ_CP024955,1,1097,0
NC_011144,0,10969,0
NZ_CP021669,0,40757,0
NZ_CP021669,1,42505,0
NC_021714,0,16359,0
NC_003919,0,44336,0
NC_018678,0,13826,0
NC_007513,0,5169,0
NC_017463,0,26343,1
NC_014914,0,1744,0
NC_016625,0,37518,2
NC_009337,0,21431,1
NC_021500,0,25476,0
NZ_CP021911,0,1572,0
NZ_CP021911,1,3320,0
NZ_CP022709,0,7727,0
NZ_CP022709,1,9448,0
NZ_CP022130,0,5040,0
NZ_CP022130,1,3331,0
NC_009749,0,88036,4
NC_008380,0,34965,0
NZ_CP011853,0,26672,0
NZ_CP011853,1,28763,0
NC_023134,0,260,0
NC_003047,0,24234,0
NC_017847,0,100,0
NC_014720,0,27790,0
NC_017573,0,1030,0
NC_010842,0,7607,0
NC_010086,0,623,0
NC_019563,0,29905,2
NC_019563,1,31454,2
NC_007481,0,9581,0
NC_016027,0,1129989,36
NZ_CP007220,0,123,0
NZ_CP007220,1,2004,0
NC_007880,0,88028,4
NC_013165,0,12233,0
NC_013165,1,13873,0
NC_018533,0,11805,0
NZ_CP009241,0,2707,0
NC_018002,0,4,0
NC_016112,0,2315,0
NC_012560,0,17952,0
NC_014365,0,139471,3
NC_009792,0,59223,1
NC_008784,0,6880,0
NC_004088,0,350430,7
NZ_CP024203,0,3203,0
NZ_CP024203,1,1589,0
NZ_LT906447,0,1394,0
NZ_LT906447,1,3205,0
NC_009075,0,6412,0
NC_008150,0,31529,0
NZ_CP012625,0,19624,0
NC_014816,0,52234,2
NZ_CP007509,0,27756,0
NC_002662,0,7086,0
NC_010104,0,7147,0
NZ_CP012150,0,76238,1
NZ_CP012150,1,78276,1
NZ_CP006823,0,149522,9
NZ_CP006823,1,151076,9
NZ_AP012325,0,1965,0
NC_008321,0,10600,0
NC_014640,0,11842,0
NZ_CP025223,0,32848,0
NZ_CP025223,1,34520,0
NC_017470,0,1184,0
NZ_CP024932,0,25843,0
NZ_CP024932,1,23634,0
NC_014311,0,1577,0
NC_008314,0,1676,0
NC_008686,0,15465,0
NC_014837,0,24848,0
NC_009494,0,464,0
NC_006841,0,1529,0
NZ_AP014522,0,28164,0
NZ_CP025545,0,733,0
NZ_CP025545,1,1039,0
NC_021352,0,7005,0
NC_021290,0,9425,0
NC_007292,0,4740,0
NC_023028,0,9149,0
NC_014117,0,2853,0
NC_007298,0,3140,0
NC_007778,0,140308,2
NC_014484,0,667,0
NZ_CP007519,0,15195,0
NC_007516,0,294,0
NC_005140,0,531,0
NZ_CP022437,0,2154,0
NZ_CP022437,1,376,0
NC_003062,0,13320,0
NC_016777,0,1519,0
NC_017387,0,9271,0
NZ_CP011483,0,7768,0
NZ_CP011483,1,6214,0
NZ_CP023515,0,34040,1
NZ_CP023515,1,32445,0
NC_009142,0,184976,2
NC_012913,0,29680,1
NZ_LN906634,0,724,0
NZ_LN906634,1,2381,0
NC_002677,0,566,0
NC_005295,0,23232,1
NC_021149,0,17952,0
NC_023064,0,30061,0
NZ_CP025135,0,7716,0
NZ_CP025135,1,9389,0
NC_007677,0,1823,0
NC_017256,0,8366,1
NC_007779,0,1659,0
NC_000921,0,7346,0
NC_000921,1,5786,0
NC_009076,0,2808,0
NC_003910,0,3221,0
NC_004061,0,22568,3
NC_017304,0,5808,0
NC_013525,0,292823,14
NZ_CP022121,0,1904,0
NZ_CP022121,1,233,0
NC_017171,0,1243284,30
NZ_LT906445,0,3034,0
NZ_LT906445,1,913,0
NC_019689,0,37100,0
NC_008391,0,671270,25
NZ_CP024931,0,21695,0
NZ_CP024931,1,23911,0
NC_015703,0,11037,0
NC_022593,0,7255,0
NZ_CP022657,0,35374,0
NZ_CP022657,1,33600,0
NC_011313,0,20239,1
NC_016796,0,1580,0
NC_004311,0,7139,0
NC_018028,0,34119,0
NC_013508,0,17081,0
NZ_CP007573,0,6566,0
NC_008687,0,1025,0
NC_021491,0,45607,0
NC_021812,0,2685,0
NC_008322,0,2830,0
NC_017390,0,67527,1
NC_007954,0,11581,0
NC_017372,0,5395,0
NC_017372,1,6948,0
NC_016884,0,663,0
NC_017623,0,2678,0
NC_018289,0,2084,0
NC_011661,0,274844,14
NC_012985,0,9855,0
NZ_CP021907,0,17526,0
NZ_CP021907,1,15661,0
NZ_CP021640,0,3067,0
NZ_CP021640,1,1519,0
NC_008599,0,459,0
NC_008344,0,132148,4
NZ_AP014649,0,1190,0
NC_007577,0,24851,1
NZ_LT960790,0,70,0
NZ_LT960790,1,1650,0
NC_016812,0,2837,0
NC_017633,0,1655,0
NC_023004,0,7714,0
NC_016445,0,1548,0
NC_002678,0,189799,2
NC_017532,0,15520,0
NC_021175,0,7379,0
NC_015671,0,20021,0
NC_017587,0,1154,0
NC_023035,0,3143,0
NC_021066,0,2329,0
NC_022441,0,152,0
NC_014932,0,5984,0
NC_011916,0,22580,0
NC_014722,0,25134,0
NZ_CP022436,0,7113,0
NZ_CP022436,1,9051,0
NC_012490,0,27101,0
NC_012490,1,24856,0
NC_018631,0,148,0
NC_007973,0,34953,0
NZ_CP019992,0,12617,0
NC_017371,0,12785,0
NC_017371,1,14349,0
NZ_CP024126,0,6664,0
NZ_CP024126,1,5113,0
NC_015312,0,9443,0
NZ_CP025122,0,4143,0
NZ_CP025122,1,2431,0
NC_022806,0,18749,0
NC_004343,0,1869,0
NC_019435,0,6683,0
NC_010321,0,21028,0
NC_021710,0,19278,0
NC_008392,0,1729,0
NZ_CP025495,0,17597,0
NZ_CP025495,1,19462,0
NC_004431,0,1663,0
NZ_CP008872,0,18813,0
NZ_CP021529,0,10709,0
NZ_CP021529,1,9022,0
NC_010001,0,6911,0
NC_009636,0,28552,0
NC_014121,0,1272,0
NZ_CP022106,0,3589,0
NZ_CP022106,1,1926,0
NC_018692,0,9484,0
NC_019567,0,2249,0
NC_015376,0,6313,0
NZ_CP022653,0,3102,0
NZ_CP022653,1,1356,0
NC_011527,0,31337,1
NC_007347,0,76294,2
NC_021280,0,260,0
NZ_CP021905,0,17526,0
NZ_CP021905,1,15661,0
NC_009256,0,14074,0
NC_013939,0,7016,0
NZ_LT906444,0,2583,0
NZ_LT906444,1,4287,0
NC_018939,0,36653,2
NC_018939,1,38179,2
NZ_CP023174,0,1135,0
NZ_CP023174,1,2844,0
NC_002936,0,51,0
NZ_CP022435,0,198,0
NZ_CP022435,1,1351,0
NC_008512,0,57023,35
NC_018408,0,98625,9
NZ_AP014635,0,8066,0
NC_018412,0,98150,10
NC_015183,0,239,0
NC_017949,0,6403,0
NZ_CP023507,0,396,0
NZ_CP023507,1,1153,0
NZ_CP025082,0,936,0
NZ_CP025082,1,2640,0
NZ_CP024897,0,5662,0
NZ_CP024897,1,7405,0
NC_011663,0,12448,0
NZ_LT960788,0,1035,0
NZ_LT960788,1,685,0
NC_022660,0,1881,0
NC_016629,0,90414,2
NC_004556,0,8140,0
NC_005027,0,23981,0
NZ_CP025443,0,944,0
NZ_CP025443,1,2648,0
NZ_CP008804,0,51926,2
NZ_CP009170,0,5191,0
NC_009380,0,8884,0
NZ_LN854556,0,14228,0
NZ_LN854556,1,12363,0
NC_010801,0,3181,0
NC_013410,0,20422,0
NZ_CP009288,0,1703,0
NC_016632,0,1096,0
NC_008346,0,34,0
NC_007963,0,927,0
NC_005296,0,92825,1
NC_012856,0,93617,2
NC_016778,0,1688,0
NC_009078,0,6606,0
NC_018139,0,428,0
NC_019902,0,51661,1
NC_014010,0,151,0
NC_007356,0,16,0
NC_017259,0,6553,1
NC_010117,0,92067,4
NC_008740,0,2784,0
NC_020127,0,11230,0
NC_004459,0,792,0
NC_009850,0,64411,2
NC_007974,0,137472,5
NZ_CP025076,0,2533,0
NZ_CP025076,1,986,0
NC_002942,0,127,0
NC_008751,0,12046,0
NC_018268,0,18999,0
NC_017445,0,5905,0
NC_007908,0,48128,1
NC_017559,0,13488,0
NZ_CP014870,0,17025,0
NC_011833,0,3680,0
NZ_CP022571,0,5565,0
NZ_CP022571,1,3716,0
NC_014724,0,1518,0
NC_018722,0,1092,0
NC_009428,0,514237,15
NC_014759,0,14702,0
NZ_CP010436,0,36638,2
NZ_CP010436,1,38202,2
NC_009614,0,1649047,31
NC_021085,0,2243,0
NZ_LT960784,0,171,0
NZ_LT960784,1,1891,0
NC_018938,0,36653,2
NC_018938,1,38179,2
NC_014366,0,88,0
NZ_LN831051,0,1184,0
NZ_LN831051,1,363,0
NC_017057,0,9189,0
NZ_CP023168,0,3641,0
NZ_CP023168,1,5390,0
NC_014972,0,28828,0
NZ_CP008862,0,18723,0
NC_012988,0,516226,8
NC_017049,0,9193,0
NC_002696,0,14564,0
NZ_CP023501,0,2175,0
NZ_CP023501,1,321,0
NC_017832,0,6515,0
NC_017628,0,1657,0
