RefSeq,Sequence_length,False_order,GC_Concentration,Time,oriC_middles_0,oriC_middles_1,oriC_middles_2,oriC_middles_3,oriC_middles_4,oriC_middles_5,oriC_middles_6,oriC_middles_7,oriC_middles_8,oriC_middles_9,Occurance_oriC_0,Occurance_oriC_1,Occurance_oriC_2,Occurance_oriC_3,Occurance_oriC_4,Occurance_oriC_5,Occurance_oriC_6,Occurance_oriC_7,Occurance_oriC_8,Occurance_oriC_9,Z_Occurance_oriC_0,Z_Occurance_oriC_1,Z_Occurance_oriC_2,Z_Occurance_oriC_3,Z_Occurance_oriC_4,Z_Occurance_oriC_5,Z_Occurance_oriC_6,Z_Occurance_oriC_7,Z_Occurance_oriC_8,Z_Occurance_oriC_9,G_Occurance_oriC_0,G_Occurance_oriC_1,G_Occurance_oriC_2,G_Occurance_oriC_3,G_Occurance_oriC_4,G_Occurance_oriC_5,G_Occurance_oriC_6,G_Occurance_oriC_7,G_Occurance_oriC_8,G_Occurance_oriC_9,D_Occurance_oriC_0,D_Occurance_oriC_1,D_Occurance_oriC_2,D_Occurance_oriC_3,D_Occurance_oriC_4,D_Occurance_oriC_5,D_Occurance_oriC_6,D_Occurance_oriC_7,D_Occurance_oriC_8,D_Occurance_oriC_9
NC_010280,1038863,False,0.41328356097002206,79.24212408065796,63,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_017057,1112101,False,0.2898963313583928,82.5593593120575,8998,236184,nan,nan,nan,nan,nan,nan,nan,nan,0.39180468796500484,0.2272727272727273,nan,nan,nan,nan,nan,nan,nan,nan,0.8181818181818182,0.18181818181818182,nan,nan,nan,nan,nan,nan,nan,nan,0.35723224571319645,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
NC_014921,1118751,True,0.26859506717759357,80.97979044914246,1048340,185779,806937,411879,699274,592165,nan,nan,nan,nan,0.5106048078172257,0.3290244130463553,0.022728525516107604,0.10875637583974103,0.1791886277238085,0.08964567268524082,nan,nan,nan,nan,0.5333333333333333,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,nan,nan,nan,nan,0.9984810901183439,0.7537399058057326,0.0015189098816561497,0.25960246085255645,0.47089921650475886,0.23560368472238913,nan,nan,nan,nan,0,0,0,0,0,0,nan,nan,nan,nan
NC_021891,1061854,False,0.41489602148694643,86.00494480133057,723643,9,817614,nan,nan,nan,nan,nan,nan,nan,0.31908394140753593,0.3006697872086544,0.09686171918531374,nan,nan,nan,nan,nan,nan,nan,0.75,0.16666666666666666,0.08333333333333333,nan,nan,nan,nan,nan,nan,nan,0.2072518242226078,0.7353426949592966,0.2072518242226079,nan,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan
NC_017358,1635449,False,0.3886376157251006,95.18001317977905,1564576,214043,539172,789547,1090197,1389460,946414,nan,nan,nan,0.34100798987892067,0.17734071187189018,0.24378576765669843,0.16345182298300132,0.22989687876780954,0.13567404520522355,0.14730097474824663,nan,nan,nan,0.4166666666666667,0.16666666666666666,0.125,0.125,0.08333333333333333,0.041666666666666664,0.041666666666666664,nan,nan,nan,0.6063573029700953,0.36535546894900395,0.6063573029700953,0.36535546894900395,0.6063573029700953,0.36535546894900395,0.40023625757807324,nan,nan,nan,0,0,0,0,0,0,0,nan,nan,nan
NC_012687,1044282,False,0.41302540884550343,88.87147951126099,4,722534,nan,nan,nan,nan,nan,nan,nan,nan,0.27336918152875056,0.2809990491456149,nan,nan,nan,nan,nan,nan,nan,nan,0.8181818181818182,0.18181818181818182,nan,nan,nan,nan,nan,nan,nan,nan,0.0019257264044334477,0.6611789656186629,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
NC_022998,1160554,False,0.28303982408401507,94.42761564254761,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004311,1207381,False,0.5731637320779439,98.3288722038269,1200212,787986,nan,nan,nan,nan,nan,nan,nan,nan,0.3,0.03333333333333333,nan,nan,nan,nan,nan,nan,nan,nan,0.9,0.1,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
NC_010263,1268201,False,0.3244682822360178,95.02062892913818,23855,462901,nan,nan,nan,nan,nan,nan,nan,nan,0.33999379715716954,0.26417979740923125,nan,nan,nan,nan,nan,nan,nan,nan,0.875,0.125,nan,nan,nan,nan,nan,nan,nan,nan,0.14498139147150868,0.6675393922276938,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
NC_017044,1300386,False,0.324336773850226,100.03409743309021,10913,249712,nan,nan,nan,nan,nan,nan,nan,nan,0.3595218935874151,0.3055555555555556,nan,nan,nan,nan,nan,nan,nan,nan,0.5833333333333334,0.4166666666666667,nan,nan,nan,nan,nan,nan,nan,nan,0.49523234742891187,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP011487,1531450,False,0.3877984916255836,112.0854549407959,1413385,961337,1146945,1277888,97284,502671,nan,nan,nan,nan,0.30794822411386025,0.2870085517165402,0.18866971330994908,0.23938950409749257,0.14105066569090144,0.21557998028796876,nan,nan,nan,nan,0.32142857142857145,0.25,0.21428571428571427,0.10714285714285714,0.07142857142857142,0.03571428571428571,nan,nan,nan,nan,0.6024161009130093,0.6110256551496207,0.35172342564413295,0.6110256551496206,0.35172342564413295,0.6110256551496206,nan,nan,nan,nan,0,0,0,0,0,0,nan,nan,nan,nan
NZ_CP006820,1633212,True,0.38806535832457756,112.48154377937317,1541172,868045,1240197,177823,1375305,684876,nan,nan,nan,nan,0.22398246916840456,0.30629156830116494,0.23597265025457195,0.23486299687259352,0.12874437393030932,0.21105347306306974,nan,nan,nan,nan,0.32142857142857145,0.32142857142857145,0.17857142857142858,0.10714285714285714,0.03571428571428571,0.03571428571428571,nan,nan,nan,nan,0.35051883607664225,0.5974461334749235,0.5293465221922873,0.5974461334749235,0.35051883607664225,0.5974461334749235,nan,nan,nan,nan,0,0,0,0,0,0,nan,nan,nan,nan
NC_016777,1162259,False,0.5733584338774748,98.09658145904541,148701,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_017741,1663456,True,0.38772651636111805,115.11015176773071,1078408,1401727,1571186,1265387,462988,nan,nan,nan,nan,nan,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.09911690376806655,0.17777777777777778,nan,nan,nan,nan,nan,0.3,0.3,0.3,0.06666666666666667,0.03333333333333333,nan,nan,nan,nan,nan,0.5,0.5,0.5,0.230684044637533,0.5,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan
NZ_CP007606,1604212,False,0.38964052132760507,124.7591278553009,1538941,138713,1008243,703295,1332575,nan,nan,nan,nan,nan,0.36520981502082644,0.22495205711654545,0.1593667467341132,0.15213549734702794,0.23558018539119682,nan,nan,nan,nan,nan,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.05555555555555555,0.05555555555555555,nan,nan,nan,nan,nan,0.6511850006180349,0.3415228380163031,0.3669891290912285,0.4008509364855283,0.6511850006180349,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan
NC_008817,1704176,True,0.3079417853555032,126.49942278862,1665828,341591,465915,1111841,735262,853196,nan,nan,nan,nan,0.22626430058268823,0.31327077587746627,0.2816885075139734,0.16277223709062474,0.24994247576794168,0.17925406248041834,nan,nan,nan,nan,0.3333333333333333,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.047619047619047616,nan,nan,nan,nan,0.34545956841473136,0.654098041918113,0.7022083796847773,0.34545956841473136,0.7022083796847773,0.49014313982220736,nan,nan,nan,nan,0,0,0,0,0,0,nan,nan,nan,nan
NC_001264,412348,True,0.6668808870177617,32.83370757102966,185073,319730,409468,35607,255229,146139,80750,nan,nan,nan,0.06666666666666667,0.05925925925925926,0.05185185185185185,0.05185185185185185,0.037037037037037035,0.037037037037037035,0.02962962962962963,nan,nan,nan,0.2,0.17777777777777778,0.15555555555555556,0.15555555555555556,0.1111111111111111,0.1111111111111111,0.08888888888888889,nan,nan,nan,0,0,0,0,0,0,0,nan,nan,nan,0,0,0,0,0,0,0,nan,nan,nan
NC_018673,1645096,False,0.3724123090688932,124.63979649543762,1644548,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_000919,1138011,False,0.5277207338066152,90.05901384353638,2611,947284,741232,nan,nan,nan,nan,nan,nan,nan,0.605434607159554,0.03092902920408235,0.2032581214680406,nan,nan,nan,nan,nan,nan,nan,0.8181818181818182,0.09090909090909091,0.09090909090909091,nan,nan,nan,nan,nan,nan,nan,0.9981220032968439,0.0018779967031561373,0.5188652734950309,nan,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan
NC_021834,1702398,True,0.3049169465659617,127.92596888542175,829029,663634,13133,nan,nan,nan,nan,nan,nan,nan,0.4997238707045987,0.09551422453349645,0.3370257978994595,nan,nan,nan,nan,nan,nan,nan,0.5,0.2857142857142857,0.21428571428571427,nan,nan,nan,nan,nan,nan,nan,0.9991716121137962,0.000828387886203652,0.7967916794126644,nan,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan
NZ_CP025399,1857468,False,0.3911792827655712,135.29737973213196,710,316154,nan,nan,nan,nan,nan,nan,nan,nan,0.6326100142444724,0.03407567323095911,nan,nan,nan,nan,nan,nan,nan,nan,0.9,0.1,nan,nan,nan,nan,nan,nan,nan,nan,0.997830042733417,0.002227019692877308,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LT960781,2050232,False,0.4111817589424026,139.55964279174805,981,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP025028,2116769,False,0.3548252076631886,143.4716558456421,2111351,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_017587,1902595,True,0.6909195073044972,143.09030771255493,364,1681313,331170,1500102,505145,1320445,994172,nan,nan,nan,0.4997206086118459,0.24976959466563034,0.15678938568233666,0.28893016085978496,0.018797909906672617,0.20405673691689916,0.1675458117249503,nan,nan,nan,0.5,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,nan,nan,nan,0.9991618258355377,0.6381976728857799,0.3592570459358989,0.7556793714682438,0.000838174164462302,0.5566146551951419,0.44708187961929535,nan,nan,nan,0,0,0,0,0,0,0,nan,nan,nan
NZ_CP007631,2221207,False,0.35493900388392435,150.5676233768463,2220529,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP021529,2025732,False,0.42237818230644525,154.41857075691223,10451,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_018631,1893499,False,0.3667712525858213,148.47170448303223,1893402,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP023507,2053209,True,0.40939816647988586,155.5216782093048,1866950,913,nan,nan,nan,nan,nan,nan,nan,nan,0.16792042214516853,0.49939449309276895,nan,nan,nan,nan,nan,nan,nan,nan,0.5,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.0037612664355055614,0.998183479278307,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP022392,2116570,False,0.3682424866647453,159.83767318725586,2062677,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_007575,2201561,True,0.3446195676613094,160.79904532432556,2200741,240998,1780381,827991,1053037,nan,nan,nan,nan,nan,0.453118434483288,0.3511220289242751,0.13826477822121483,0.026881565516712,0.22644948402072418,nan,nan,nan,nan,nan,0.36,0.28,0.2,0.08,0.08,nan,nan,nan,nan,nan,0.999355303449864,0.7733660867728251,0.2147943346636445,0.0006446965501359925,0.5993484520621726,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan
NC_013016,2145295,False,0.5194716810508578,159.0545129776001,381,1930192,nan,nan,nan,nan,nan,nan,nan,nan,0.632132364572343,0.03453430209432367,nan,nan,nan,nan,nan,nan,nan,nan,0.9,0.1,nan,nan,nan,nan,nan,nan,nan,nan,0.996397093717029,0.003602906282970997,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
NC_013416,2105791,True,0.44553139414120396,158.93925786018372,76474,437963,1221411,682519,1034206,nan,nan,nan,nan,nan,0.46632580641443006,0.22028931641091953,0.08605514596652226,0.03510921759986862,0.1283402285590707,nan,nan,nan,nan,nan,0.4,0.2571428571428571,0.2571428571428571,0.05714285714285714,0.02857142857142857,nan,nan,nan,nan,nan,0.9989774192432902,0.4037250920899015,0.00102258075670969,0.04818479565674871,0.35644925710578357,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan
NC_021887,1038817,False,0.41326624419893015,78.76209425926208,9,716297,nan,nan,nan,nan,nan,nan,nan,nan,0.2730743219835147,0.28386702411380554,nan,nan,nan,nan,nan,nan,nan,nan,0.8181818181818182,0.18181818181818182,nan,nan,nan,nan,nan,nan,nan,nan,0.0010411477687259918,0.6697828905232348,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
NC_012913,2313035,False,0.42230964944326393,168.60224223136902,1941318,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_017278,2243772,True,0.6860594570214799,173.25602626800537,52536,2021414,269846,1744524,nan,nan,nan,nan,nan,nan,0.49943928423413536,0.07198928719443605,0.21985260974509857,0.25273389831277643,nan,nan,nan,nan,nan,nan,0.5,0.21428571428571427,0.14285714285714285,0.14285714285714285,nan,nan,nan,nan,nan,nan,0.9983178527024062,0.0016821472975938612,0.5167006863781529,0.6153445520811863,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan
NC_021878,2253233,False,0.270598291432799,170.93581080436707,2239383,1989024,390242,1386210,902586,nan,nan,nan,nan,nan,0.44419071236673746,0.2667750417116838,0.31311354321623425,0.06199250541231801,0.024945090102398353,nan,nan,nan,nan,nan,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.14814814814814814,0.07407407407407407,nan,nan,nan,nan,nan,0.999238803766879,0.5781029029128293,0.7171184074264806,0.03782936808880588,0.0007611962331209865,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan
NC_014625,2776084,False,0.6172374467055032,192.8729648590088,2278,2268738,668982,nan,nan,nan,nan,nan,nan,nan,0.4580503091716506,0.05576520308272789,0.36090146358393876,nan,nan,nan,nan,nan,nan,nan,0.75,0.16666666666666666,0.08333333333333333,nan,nan,nan,nan,nan,nan,nan,0.6241509275149519,0.0006289425815170224,0.999371057418483,nan,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan
NC_010981,1482455,True,0.34190245235099886,111.30112528800964,1113786,1439874,766584,58772,325452,nan,nan,nan,nan,nan,0.22986182279057563,0.18597936642315735,0.31544561920180153,0.2836995874557698,0.22327398722265723,nan,nan,nan,nan,nan,0.3333333333333333,0.23809523809523808,0.23809523809523808,0.14285714285714285,0.047619047619047616,nan,nan,nan,nan,nan,0.3562521350383936,0.319842861174234,0.7082416195101665,0.7082416195101665,0.622202914048924,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan
NC_010805,2473162,False,0.6713280407834181,194.12236976623535,2460915,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP023011,2845651,False,0.36987283401935095,195.80838799476624,656733,30741,nan,nan,nan,nan,nan,nan,nan,nan,0.6329555923202225,0.03371107434644428,nan,nan,nan,nan,nan,nan,nan,nan,0.9,0.1,nan,nan,nan,nan,nan,nan,nan,nan,0.9988667769606672,0.0011332230393328313,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
NC_017486,2399458,False,0.3523974997686978,194.3229010105133,8930,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_021738,2501382,False,0.4113789896944969,192.77180361747742,1012682,1528457,nan,nan,nan,nan,nan,nan,nan,nan,0.22262356066174102,0.4440431060049257,nan,nan,nan,nan,nan,nan,nan,nan,0.6666666666666666,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,nan,0.0012040153185564062,0.9987959846814437,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
NC_008789,2678452,False,0.6798172974539025,201.22273087501526,2652560,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LN831036,2797452,False,0.3290354937278638,203.24919080734253,13656,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_008344,2661057,False,0.48486259407445986,205.5587034225464,133664,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP021907,2792213,False,0.32863538705678974,208.0510709285736,17705,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_021174,2763585,False,0.6805812015914111,208.83199048042297,1440732,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
