RefSeq,Sequence_length,False_order,GC_Concentration,oriC_middles_0,oriC_middles_1,oriC_middles_2,oriC_middles_3,oriC_middles_4,oriC_middles_5,oriC_middles_6,oriC_middles_7,oriC_middles_8,oriC_middles_9,Occurance_oriC_0,Occurance_oriC_1,Occurance_oriC_2,Occurance_oriC_3,Occurance_oriC_4,Occurance_oriC_5,Occurance_oriC_6,Occurance_oriC_7,Occurance_oriC_8,Occurance_oriC_9
NC_000919,1138011,False,0.5277207338066152,2611,741232,947284,nan,nan,nan,nan,nan,nan,nan,0.8181818181818182,0.09090909090909091,0.09090909090909091,nan,nan,nan,nan,nan,nan,nan
NC_008229,1553927,True,0.38177533436255373,2787,1401061,688522,1130355,1018360,nan,nan,nan,nan,nan,0.5263157894736842,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.05263157894736842,nan,nan,nan,nan,nan
NC_017739,1665719,True,0.38770584954605186,1590197,434331,1118616,1289174,nan,nan,nan,nan,nan,nan,0.6666666666666666,0.13333333333333333,0.13333333333333333,0.06666666666666667,nan,nan,nan,nan,nan,nan
NC_010981,1482455,True,0.34190245235099886,1113786,766584,325452,1439874,58772,nan,nan,nan,nan,nan,0.23809523809523808,0.3333333333333333,0.23809523809523808,0.14285714285714285,0.047619047619047616,nan,nan,nan,nan,nan
NZ_CP021866,2116773,False,0.35481745090286015,2111354,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_007429,1044459,True,0.41302626527226055,4,722714,nan,nan,nan,nan,nan,nan,nan,nan,0.18181818181818182,0.8181818181818182,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP022319,3812575,False,0.414046149911805,3715,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_017080,3803225,False,0.7328780179978833,36947,644924,1852025,3301634,2939765,1441605,nan,nan,nan,nan,0.44,0.28,0.12,0.08,0.04,0.04,nan,nan,nan,nan
NC_017359,1560342,False,0.39117385803881455,1471188,1020130,125397,534930,866811,1324541,nan,nan,nan,nan,0.47368421052631576,0.3157894736842105,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,nan,nan,nan,nan
NC_005823,4277185,False,0.35049524395133713,4275865,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_008513,416380,True,0.20097026754407032,415271,275115,111154,228068,70988,nan,nan,nan,nan,nan,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.09090909090909091,nan,nan,nan,nan,nan
NC_014774,1258278,False,0.35240940396319415,1246101,268618,nan,nan,nan,nan,nan,nan,nan,nan,0.6153846153846154,0.38461538461538464,nan,nan,nan,nan,nan,nan,nan,nan
NC_008025,2467205,True,0.6663621385332795,7270,1187354,325645,754654,1827187,537908,nan,nan,nan,nan,0.38461538461538464,0.34615384615384615,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.038461538461538464,nan,nan,nan,nan
NZ_CP013453,3322910,False,0.6695510862466935,69913,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003912,1777831,True,0.30306142709852624,1747387,195408,nan,nan,nan,nan,nan,nan,nan,nan,0.6111111111111112,0.3888888888888889,nan,nan,nan,nan,nan,nan,nan,nan
NC_021821,1861334,False,0.451854422688244,455524,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_017453,1892681,False,0.3226000578016052,2470,646849,nan,nan,nan,nan,nan,nan,nan,nan,0.9,0.1,nan,nan,nan,nan,nan,nan,nan,nan
NC_008702,4376040,False,0.6791644957541522,21166,2884153,nan,nan,nan,nan,nan,nan,nan,nan,0.9230769230769231,0.07692307692307693,nan,nan,nan,nan,nan,nan,nan,nan
NC_011297,1959987,False,0.33740989098397084,7,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_015709,1989865,True,0.4409449887303913,1985556,1403089,523486,700508,364274,1749523,nan,nan,nan,nan,0.08333333333333333,0.5833333333333334,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,nan,nan,nan,nan
NC_021887,1038817,True,0.41326624419893015,9,716297,nan,nan,nan,nan,nan,nan,nan,nan,0.18181818181818182,0.8181818181818182,nan,nan,nan,nan,nan,nan,nan,nan
NC_003112,2272360,True,0.5152783889876604,2070796,17274,1829738,403166,989910,nan,nan,nan,nan,nan,0.07692307692307693,0.6923076923076923,0.07692307692307693,0.07692307692307693,0.07692307692307693,nan,nan,nan,nan,nan
NC_022991,4762840,False,0.5211252110085579,3969817,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_000963,1111523,False,0.2900029958894238,8999,235946,nan,nan,nan,nan,nan,nan,nan,nan,0.8181818181818182,0.18181818181818182,nan,nan,nan,nan,nan,nan,nan,nan
NC_008817,1704176,True,0.3079417853555032,1665828,1111841,341591,853196,465915,735262,nan,nan,nan,nan,0.2857142857142857,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.047619047619047616,nan,nan,nan,nan
NZ_CP025043,2404013,False,0.4153176376334071,2403293,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_018406,964110,True,0.3158457022538922,866401,3124,222359,nan,nan,nan,nan,nan,nan,nan,0.375,0.3125,0.3125,nan,nan,nan,nan,nan,nan,nan
NZ_LT578453,1038531,True,0.2931043945727186,1031060,936640,195478,357570,747370,836301,nan,nan,nan,nan,0.3225806451612903,0.2903225806451613,0.16129032258064516,0.16129032258064516,0.03225806451612903,0.03225806451612903,nan,nan,nan,nan
NC_017272,1863201,False,0.6891628976154478,14135,401673,1188792,nan,nan,nan,nan,nan,nan,nan,0.75,0.16666666666666666,0.08333333333333333,nan,nan,nan,nan,nan,nan,nan
NC_005835,1894877,True,0.6943727745917018,1544600,7504,653804,1294135,nan,nan,nan,nan,nan,nan,0.5,0.35714285714285715,0.07142857142857142,0.07142857142857142,nan,nan,nan,nan,nan,nan
NC_017254,641771,True,0.26323564012708583,638054,448079,nan,nan,nan,nan,nan,nan,nan,nan,0.9090909090909091,0.09090909090909091,nan,nan,nan,nan,nan,nan,nan,nan
NC_005042,1751080,True,0.36442138565913607,14391,1155523,1310888,598499,nan,nan,nan,nan,nan,nan,0.625,0.125,0.125,0.125,nan,nan,nan,nan,nan,nan
NC_005824,350181,True,0.3498105265562666,349535,157948,201079,62673,238936,nan,nan,nan,nan,nan,0.5,0.1875,0.1875,0.0625,0.0625,nan,nan,nan,nan,nan
NC_017250,1207380,False,0.5731633785552187,1200210,787981,nan,nan,nan,nan,nan,nan,nan,nan,0.9,0.1,nan,nan,nan,nan,nan,nan,nan,nan
NC_011002,875977,False,0.6691602633402475,875893,144047,296449,nan,nan,nan,nan,nan,nan,nan,0.8181818181818182,0.09090909090909091,0.09090909090909091,nan,nan,nan,nan,nan,nan,nan
NC_002967,2843201,True,0.3787375567186421,464083,2835960,1215955,nan,nan,nan,nan,nan,nan,nan,0.5384615384615384,0.34615384615384615,0.11538461538461539,nan,nan,nan,nan,nan,nan,nan
NC_017358,1635449,False,0.3886376157251006,1564576,789547,214043,1090197,539172,946414,1389460,nan,nan,nan,0.4166666666666667,0.16666666666666666,0.125,0.125,0.08333333333333333,0.041666666666666664,0.041666666666666664,nan,nan,nan
NZ_LT906473,3011567,False,0.5692946562371018,2682354,62531,nan,nan,nan,nan,nan,nan,nan,nan,0.5555555555555556,0.4444444444444444,nan,nan,nan,nan,nan,nan,nan,nan
NC_022591,6265484,False,0.6654949561757719,6246884,5719732,nan,nan,nan,nan,nan,nan,nan,nan,0.75,0.25,nan,nan,nan,nan,nan,nan,nan,nan
NC_013209,2907495,False,0.5303682379505382,2902999,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_001264,412348,True,0.6668808870177617,185073,319730,409468,35607,255229,146139,80750,nan,nan,nan,0.2,0.17777777777777778,0.15555555555555556,0.15555555555555556,0.1111111111111111,0.1111111111111111,0.08888888888888889,nan,nan,nan
NC_007626,4967148,True,0.65093510400737,429597,4957416,1336227,3706719,nan,nan,nan,nan,nan,nan,0.14285714285714285,0.6428571428571429,0.14285714285714285,0.07142857142857142,nan,nan,nan,nan,nan,nan
NC_011883,2873437,False,0.5807216236165957,692,501826,nan,nan,nan,nan,nan,nan,nan,nan,0.9,0.1,nan,nan,nan,nan,nan,nan,nan,nan
NC_009667,2887297,False,0.5605090158719384,26560,887943,2571083,1631791,nan,nan,nan,nan,nan,nan,0.23809523809523808,0.42857142857142855,0.19047619047619047,0.14285714285714285,nan,nan,nan,nan,nan,nan
NC_022515,737115,False,0.6236747318939379,2127,470161,607450,143331,79213,nan,nan,nan,nan,nan,0.34615384615384615,0.34615384615384615,0.19230769230769232,0.07692307692307693,0.038461538461538464,nan,nan,nan,nan,nan
NC_014562,4024986,False,0.5554791991823077,3430362,18085,3786115,1718116,nan,nan,nan,nan,nan,nan,0.5294117647058824,0.23529411764705882,0.17647058823529413,0.058823529411764705,nan,nan,nan,nan,nan,nan
NZ_AP014524,2936971,False,0.4773976317777738,2929557,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP021865,2116810,False,0.35481833513636085,2111391,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP009220,2972149,False,0.5527633372351117,2951017,566081,275166,nan,nan,nan,nan,nan,nan,nan,0.6428571428571429,0.2857142857142857,0.07142857142857142,nan,nan,nan,nan,nan,nan,nan
NZ_CP023754,3027995,False,0.380158487712166,3026839,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_009615,4811379,True,0.45059576474852636,65,3566977,nan,nan,nan,nan,nan,nan,nan,nan,0.3,0.7,nan,nan,nan,nan,nan,nan,nan,nan
NC_022543,2212415,False,0.45494855169577136,626,585733,nan,nan,nan,nan,nan,nan,nan,nan,0.8181818181818182,0.18181818181818182,nan,nan,nan,nan,nan,nan,nan,nan
NC_015565,2892255,False,0.46625798900857635,2877880,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_012559,3169329,False,0.6235231495373311,12062,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP021997,3186859,False,0.44646719544228347,3132404,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_014817,1315949,False,0.6036928482790747,1112141,122587,2962,230715,nan,nan,nan,nan,nan,nan,0.5625,0.25,0.125,0.0625,nan,nan,nan,nan,nan,nan
NC_003116,2184406,True,0.5180914170717348,452543,250842,1003840,nan,nan,nan,nan,nan,nan,nan,0.09090909090909091,0.8181818181818182,0.09090909090909091,nan,nan,nan,nan,nan,nan,nan
NZ_CP022315,4071214,False,0.3951779493782444,1197208,4065882,nan,nan,nan,nan,nan,nan,nan,nan,0.5,0.5,nan,nan,nan,nan,nan,nan,nan,nan
NC_002179,1229853,False,0.40572572494436326,1226615,1116371,nan,nan,nan,nan,nan,nan,nan,nan,0.9,0.1,nan,nan,nan,nan,nan,nan,nan,nan
NC_021848,3331580,True,0.45311623914178856,2912776,1,nan,nan,nan,nan,nan,nan,nan,nan,0.9,0.1,nan,nan,nan,nan,nan,nan,nan,nan
NC_017052,3570103,True,0.4773531744042119,547356,21030,1791694,2740727,2208255,1395213,948194,nan,nan,nan,0.09090909090909091,0.30303030303030304,0.21212121212121213,0.21212121212121213,0.09090909090909091,0.06060606060606061,0.030303030303030304,nan,nan,nan
NC_021179,1140481,False,0.5278071269929091,2594,743535,950043,nan,nan,nan,nan,nan,nan,nan,0.8181818181818182,0.09090909090909091,0.09090909090909091,nan,nan,nan,nan,nan,nan,nan
NC_008836,3458208,True,0.6815498084557089,2277146,1694923,1373573,2616,2864630,nan,nan,nan,nan,nan,0.3103448275862069,0.3103448275862069,0.2413793103448276,0.10344827586206896,0.034482758620689655,nan,nan,nan,nan,nan
NZ_CP023395,2369898,False,0.5209802278410295,2368844,216244,nan,nan,nan,nan,nan,nan,nan,nan,0.9,0.1,nan,nan,nan,nan,nan,nan,nan,nan
NC_007519,3730232,False,0.5783613458894782,11926,984416,nan,nan,nan,nan,nan,nan,nan,nan,0.6923076923076923,0.3076923076923077,nan,nan,nan,nan,nan,nan,nan,nan
NC_002695,5498578,False,0.5053704794221342,4721055,4351,3322342,nan,nan,nan,nan,nan,nan,nan,0.47368421052631576,0.3684210526315789,0.15789473684210525,nan,nan,nan,nan,nan,nan,nan
NC_021879,1477581,True,0.41645094245256264,1320969,114,581807,151965,nan,nan,nan,nan,nan,nan,0.3333333333333333,0.5,0.1111111111111111,0.05555555555555555,nan,nan,nan,nan,nan,nan
NC_001263,2648638,True,0.6701036532738713,2427345,669165,231311,1870218,1362210,nan,nan,nan,nan,nan,0.28125,0.25,0.1875,0.1875,0.09375,nan,nan,nan,nan,nan
NC_008819,1864731,False,0.34979308007428417,88,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP022477,4287720,False,0.46197163061020774,4257574,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_022529,1669329,True,0.304676909105395,1661342,182430,1491171,753582,1104979,nan,nan,nan,nan,nan,0.45,0.4,0.05,0.05,0.05,nan,nan,nan,nan,nan
NC_009659,4110251,False,0.5423418180544205,4079431,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP007669,1887974,False,0.4159569994078308,39545,853016,683724,nan,nan,nan,nan,nan,nan,nan,0.5555555555555556,0.3888888888888889,0.05555555555555555,nan,nan,nan,nan,nan,nan,nan
NC_008255,4433218,False,0.3884645420098899,4002802,2873604,nan,nan,nan,nan,nan,nan,nan,nan,0.875,0.125,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP013439,3308896,False,0.6687166958405462,76394,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP009494,6988269,False,0.674030006572443,6988003,1272806,5183886,6394067,3909554,4576415,nan,nan,nan,nan,0.4090909090909091,0.3181818181818182,0.13636363636363635,0.045454545454545456,0.045454545454545456,0.045454545454545456,nan,nan,nan,nan
NC_012785,2302126,True,0.41545988360324326,2100866,1048385,88533,1879530,316467,nan,nan,nan,nan,nan,0.21428571428571427,0.35714285714285715,0.14285714285714285,0.14285714285714285,0.14285714285714285,nan,nan,nan,nan,nan
NC_020968,1042560,True,0.4130361801718846,4,720628,nan,nan,nan,nan,nan,nan,nan,nan,0.18181818181818182,0.8181818181818182,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP025029,2054713,False,0.35424266065382365,2049295,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_010804,3448421,False,0.668690394821282,4236,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_017357,1549666,False,0.392987908362189,1458272,554340,1007481,1314070,389617,131711,716544,nan,nan,nan,0.2571428571428571,0.2571428571428571,0.2,0.14285714285714285,0.08571428571428572,0.02857142857142857,0.02857142857142857,nan,nan,nan
NC_005966,3598621,False,0.4042957010477069,261,2388150,nan,nan,nan,nan,nan,nan,nan,nan,0.9,0.1,nan,nan,nan,nan,nan,nan,nan,nan
NC_015730,4505211,False,0.5720617746871345,4103490,3669252,2886063,nan,nan,nan,nan,nan,nan,nan,0.6923076923076923,0.23076923076923078,0.07692307692307693,nan,nan,nan,nan,nan,nan,nan
NC_017632,4993013,False,0.5057941968106232,3930415,4907287,3087995,nan,nan,nan,nan,nan,nan,nan,0.42857142857142855,0.5238095238095238,0.047619047619047616,nan,nan,nan,nan,nan,nan,nan
NC_016810,4878012,False,0.5218332796229284,4107972,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_017046,4876219,False,0.5217696333983359,4106808,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_013854,3311395,True,0.6776023397993897,3007187,69974,2479802,1857356,nan,nan,nan,nan,nan,nan,0.35714285714285715,0.42857142857142855,0.14285714285714285,0.07142857142857142,nan,nan,nan,nan,nan,nan
NC_021882,1594544,False,0.3881931135170933,671103,1107176,406175,1253563,nan,nan,nan,nan,nan,nan,0.5,0.3333333333333333,0.1111111111111111,0.05555555555555555,nan,nan,nan,nan,nan,nan
NC_021219,1013781,False,0.4851383089641648,532568,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP023752,3057808,False,0.38013406989582077,3056659,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_021025,1193808,True,0.23951003846514682,3604,221960,981066,439725,1080084,760695,644158,nan,nan,nan,0.24324324324324326,0.40540540540540543,0.13513513513513514,0.08108108108108109,0.08108108108108109,0.02702702702702703,0.02702702702702703,nan,nan,nan
NC_006055,793224,True,0.2702048853791615,793074,70566,nan,nan,nan,nan,nan,nan,nan,nan,0.75,0.25,nan,nan,nan,nan,nan,nan,nan,nan
NC_009785,2196662,False,0.40506778011364514,2318,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_008245,1892616,False,0.3226000414241452,1418,1668156,988180,nan,nan,nan,nan,nan,nan,nan,0.6,0.3333333333333333,0.06666666666666667,nan,nan,nan,nan,nan,nan,nan
NC_005043,1225935,True,0.40576213257636007,631901,842131,952391,nan,nan,nan,nan,nan,nan,nan,0.23076923076923078,0.6923076923076923,0.07692307692307693,nan,nan,nan,nan,nan,nan,nan
NC_002163,1641481,False,0.30548571686178516,1634389,191019,622659,nan,nan,nan,nan,nan,nan,nan,0.6,0.3333333333333333,0.06666666666666667,nan,nan,nan,nan,nan,nan,nan
NC_019537,1886888,False,0.32171967811550023,87815,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_015663,5280350,False,0.5484708400011363,1497864,5226886,nan,nan,nan,nan,nan,nan,nan,nan,0.9,0.1,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LN614756,4293049,False,0.2908149895330801,25999,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002491,1226565,True,0.4058146123523825,633899,844141,954389,nan,nan,nan,nan,nan,nan,nan,0.23076923076923078,0.6923076923076923,0.07692307692307693,nan,nan,nan,nan,nan,nan,nan
NC_007434,4126292,False,0.6760597650384413,164914,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_023137,3776653,False,0.5962451408694418,3684429,2949735,nan,nan,nan,nan,nan,nan,nan,nan,0.7692307692307693,0.23076923076923078,nan,nan,nan,nan,nan,nan,nan,nan
NC_019954,2761252,True,0.37532068786188294,2758155,1828545,nan,nan,nan,nan,nan,nan,nan,nan,0.9,0.1,nan,nan,nan,nan,nan,nan,nan,nan
NC_017167,3124048,False,0.6152319042473099,3124036,1056627,nan,nan,nan,nan,nan,nan,nan,nan,0.9,0.1,nan,nan,nan,nan,nan,nan,nan,nan
NC_005810,4595065,False,0.476500767671404,2867,1450833,2723201,3150376,3821294,nan,nan,nan,nan,nan,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.07692307692307693,nan,nan,nan,nan,nan
NZ_CP021864,2116811,False,0.3548186399258129,2111392,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_023076,5945120,False,0.6249330543370024,5545188,4016553,nan,nan,nan,nan,nan,nan,nan,nan,0.8888888888888888,0.1111111111111111,nan,nan,nan,nan,nan,nan,nan,nan
NC_017911,5962570,False,0.6003176482624103,590,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_022784,1198622,True,0.4751447912686402,435523,1198085,1096003,978030,206415,nan,nan,nan,nan,nan,0.20833333333333334,0.375,0.25,0.125,0.041666666666666664,nan,nan,nan,nan,nan
NZ_CP022475,1985155,False,0.42003722631230306,6559,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_022361,6043974,False,0.6635117887667948,6025374,5498231,nan,nan,nan,nan,nan,nan,nan,nan,0.75,0.25,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP008896,6064456,False,0.6013381909275951,3865615,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP024635,2785111,False,0.4557215134333964,1760935,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_023003,1118422,True,0.2738107798308688,45239,651506,184178,nan,nan,nan,nan,nan,nan,nan,0.2,0.6,0.2,nan,nan,nan,nan,nan,nan,nan
NZ_CP025028,2116769,False,0.3548252076631886,2111351,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_009381,4517345,False,0.47643936869997755,4481801,3321113,782648,nan,nan,nan,nan,nan,nan,nan,0.47368421052631576,0.47368421052631576,0.05263157894736842,nan,nan,nan,nan,nan,nan,nan
NC_010742,2122487,True,0.5715888954796896,45289,2007364,1614799,nan,nan,nan,nan,nan,nan,nan,0.0625,0.5625,0.375,nan,nan,nan,nan,nan,nan,nan
NC_007643,4352825,False,0.6544795621234486,4246660,411889,nan,nan,nan,nan,nan,nan,nan,nan,0.9285714285714286,0.07142857142857142,nan,nan,nan,nan,nan,nan,nan,nan
