RefSeq,Sequence_length,GC_Concentration,Time,oriC_middles_0,oriC_middles_1,oriC_middles_2,oriC_middles_3,oriC_middles_4,oriC_middles_5,oriC_middles_6,oriC_middles_7,oriC_middles_8,oriC_middles_9,Avg_Occurance_oriC_0,Avg_Occurance_oriC_1,Avg_Occurance_oriC_2,Avg_Occurance_oriC_3,Avg_Occurance_oriC_4,Avg_Occurance_oriC_5,Avg_Occurance_oriC_6,Avg_Occurance_oriC_7,Avg_Occurance_oriC_8,Avg_Occurance_oriC_9,Z_Occurance_oriC_0,Z_Occurance_oriC_1,Z_Occurance_oriC_2,Z_Occurance_oriC_3,Z_Occurance_oriC_4,Z_Occurance_oriC_5,Z_Occurance_oriC_6,Z_Occurance_oriC_7,Z_Occurance_oriC_8,Z_Occurance_oriC_9,G_A_Occurance_oriC_0,G_A_Occurance_oriC_1,G_A_Occurance_oriC_2,G_A_Occurance_oriC_3,G_A_Occurance_oriC_4,G_A_Occurance_oriC_5,G_A_Occurance_oriC_6,G_A_Occurance_oriC_7,G_A_Occurance_oriC_8,G_A_Occurance_oriC_9,G_N_Occurance_oriC_0,G_N_Occurance_oriC_1,G_N_Occurance_oriC_2,G_N_Occurance_oriC_3,G_N_Occurance_oriC_4,G_N_Occurance_oriC_5,G_N_Occurance_oriC_6,G_N_Occurance_oriC_7,G_N_Occurance_oriC_8,G_N_Occurance_oriC_9,D_Occurance_oriC_0,D_Occurance_oriC_1,D_Occurance_oriC_2,D_Occurance_oriC_3,D_Occurance_oriC_4,D_Occurance_oriC_5,D_Occurance_oriC_6,D_Occurance_oriC_7,D_Occurance_oriC_8,D_Occurance_oriC_9
NC_004311,1207381,0.5731637320779439,"(75.05313229560852, 0.49577927589416504, 86.97231769561768)",787986,1200212,nan,nan,nan,nan,nan,nan,nan,nan,0.275,0.225,nan,nan,nan,nan,nan,nan,nan,nan,0.1,0.9,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
NC_017057,1112101,0.2898963313583928,"(72.39075303077698, 0.36565279960632324, 85.60067534446716)",8998,236184,nan,nan,nan,nan,nan,nan,nan,nan,0.6420454545454546,0.35795454545454547,nan,nan,nan,nan,nan,nan,nan,nan,0.8181818181818182,0.18181818181818182,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.75,0.25,nan,nan,nan,nan,nan,nan,nan,nan
NC_012687,1044282,0.41302540884550343,"(72.16377973556519, 0.3454012870788574, 83.14812922477722)",722534,4,nan,nan,nan,nan,nan,nan,nan,nan,0.787878787878788,0.2121212121212121,nan,nan,nan,nan,nan,nan,nan,nan,0.8181818181818182,0.18181818181818182,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.3333333333333333,0.6666666666666666,nan,nan,nan,nan,nan,nan,nan,nan
NC_010280,1038863,0.41328356097002206,"(72.24573564529419, 0.12239527702331543, 83.07626080513)",63,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_021891,1061854,0.41489602148694643,"(73.29451894760132, 0.24419713020324707, 84.3597457408905)",723643,817614,9,nan,nan,nan,nan,nan,nan,nan,0.6234100701287987,0.5347064944114119,0.15277777777777776,nan,nan,nan,nan,nan,nan,nan,0.75,0.08333333333333333,0.16666666666666666,nan,nan,nan,nan,nan,nan,nan,1.0,0.7221593109789811,0.0,nan,nan,nan,nan,nan,nan,nan,0.5214180582929724,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.2222222222222222,0.3333333333333333,0.4444444444444444,nan,nan,nan,nan,nan,nan,nan
NC_022998,1160554,0.28303982408401507,"(76.4667706489563, 0.3942394256591797, 90.29241967201233)",4,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_010263,1268201,0.3244682822360178,"(81.47886657714844, 0.4594905376434326, 92.89889073371887)",23855,462901,nan,nan,nan,nan,nan,nan,nan,nan,0.8778409090909091,0.12215909090909091,nan,nan,nan,nan,nan,nan,nan,nan,0.875,0.125,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.6363636363636364,0.36363636363636365,nan,nan,nan,nan,nan,nan,nan,nan
NC_017044,1300386,0.324336773850226,"(83.59127426147461, 0.4828217029571533, 96.85785412788391)",10913,249712,nan,nan,nan,nan,nan,nan,nan,nan,0.6458333333333334,0.3541666666666667,nan,nan,nan,nan,nan,nan,nan,nan,0.5833333333333334,0.4166666666666667,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
NC_016777,1162259,0.5733584338774748,"(74.51064801216125, 0.4555692672729492, 83.98000764846802)",148701,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP011487,1531450,0.3877984916255836,"(88.63890051841736, 0.5599381923675537, 102.67936372756958)",97284,502671,961337,1413385,1146945,1277888,nan,nan,nan,nan,0.4426280626704271,0.38405200193691497,0.30929306471079576,0.3033462115705479,0.2353626333406908,0.21925616298034445,nan,nan,nan,nan,0.21428571428571427,0.07142857142857142,0.25,0.32142857142857145,0.10714285714285714,0.03571428571428571,nan,nan,nan,nan,1.0,0.3252445525981581,0.0,0.75242139113269,0.3089393815819478,0.5268903828452823,nan,nan,nan,nan,0.34692421081459884,1.0,0.7081024914013226,0.0,0.4090892248705164,0.19814091359436797,nan,nan,nan,nan,0.20930232558139536,0.27906976744186046,0.13953488372093023,0.13953488372093023,0.11627906976744186,0.11627906976744186,nan,nan,nan,nan
NZ_CP007606,1604212,0.38964052132760507,"(92.9241189956665, 0.5448756217956543, 107.00164604187012)",1008243,1332575,1538941,703295,138713,nan,nan,nan,nan,nan,0.4718879360902501,0.3446561452219724,0.31068582345378765,0.30808080808080807,0.20777011050191246,nan,nan,nan,nan,nan,0.3333333333333333,0.05555555555555555,0.05555555555555555,0.4444444444444444,0.1111111111111111,nan,nan,nan,nan,nan,0.5667283050075732,1.0,0.6164806675525242,0.0,0.2373900034381185,nan,nan,nan,nan,nan,0.6541567726867604,0.2321599344232433,0.0,1.0,0.2654076102867031,nan,nan,nan,nan,nan,0.3333333333333333,0.09090909090909091,0.18181818181818182,0.12121212121212122,0.2727272727272727,nan,nan,nan,nan,nan
NZ_CP006820,1633212,0.38806535832457756,"(95.17863345146179, 0.6092288494110107, 108.35103821754456)",177823,684876,1541172,868045,1240197,1375305,nan,nan,nan,nan,0.4784537294298656,0.38241566274536104,0.32225110699373327,0.30097784517043724,0.25831188372217856,0.23082314072948223,nan,nan,nan,nan,0.32142857142857145,0.32142857142857145,0.03571428571428571,0.03571428571428571,0.17857142857142858,0.10714285714285714,nan,nan,nan,nan,1.0,0.26537693669572976,0.8247187136892188,0.0,0.38866335758639975,0.5844090741819299,nan,nan,nan,nan,0.3352434891480338,1.0,0.0,0.8824828092531776,0.3945841773023146,0.21745491730742758,nan,nan,nan,nan,0.2571428571428571,0.22857142857142856,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.08571428571428572,nan,nan,nan,nan
NC_017358,1635449,0.3886376157251006,"(96.45508313179016, 0.49640536308288574, 110.32846474647522)",1090197,789547,946414,1389460,1564576,214043,539172,nan,nan,nan,0.4131671891347624,0.4097575653370014,0.3529112025267509,0.3331858432286654,0.32618638239339753,0.27160525738805047,0.2616332315557438,nan,nan,nan,0.16666666666666666,0.041666666666666664,0.041666666666666664,0.4166666666666667,0.125,0.125,0.08333333333333333,nan,nan,nan,0.6886125120994447,0.3056969280146722,0.505486779764634,1.0,0.7769677517958123,0.4140926690101381,0.0,nan,nan,nan,0.5983155036988642,1.0,0.7904172896016289,0.1984841136554024,0.0,0.380661693875397,0.8150514447414937,nan,nan,nan,0.24074074074074073,0.16666666666666666,0.16666666666666666,0.07407407407407407,0.09259259259259259,0.1111111111111111,0.14814814814814814,nan,nan,nan
NC_017741,1663456,0.38772651636111805,"(98.27995872497559, 0.6113431453704834, 111.68793487548828)",462988,1078408,1571186,1401727,1265387,nan,nan,nan,nan,nan,0.457063281689851,0.3873800346440322,0.35789473684210527,0.3565140235588224,0.29660122390988397,nan,nan,nan,nan,nan,0.06666666666666667,0.3,0.3,0.3,0.03333333333333333,nan,nan,nan,nan,nan,0.6036917232506321,0.0,1.0,0.6561149239617028,0.3794386113016409,nan,nan,nan,nan,nan,1.0,0.9074148754182342,0.0,0.3120464334314814,0.563106635215088,nan,nan,nan,nan,nan,0.34210526315789475,0.13157894736842105,0.15789473684210525,0.15789473684210525,0.21052631578947367,nan,nan,nan,nan,nan
NC_008817,1704176,0.3079417853555032,"(98.37180066108704, 0.6069326400756836, 113.99852132797241)",1111841,853196,1665828,735262,341591,465915,nan,nan,nan,nan,0.47780048950283915,0.45964711973707545,0.4151785714285714,0.2788086869542712,0.22143073705257382,0.1742319284450901,nan,nan,nan,nan,0.3333333333333333,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.047619047619047616,nan,nan,nan,nan,0.681719400663523,1.0,0.0,0.8557588182596797,0.37131936719203773,0.5243086661613129,nan,nan,nan,nan,0.8961492240145004,0.38323133609115895,1.0,0.14935688193835744,0.24654643816111466,0.0,nan,nan,nan,nan,0.0,0.3125,0.375,0.0625,0.125,0.125,nan,nan,nan,nan
NC_000919,1138011,0.5277207338066152,"(78.05370044708252, 0.3499319553375244, 87.40673589706421)",741232,2611,947284,nan,nan,nan,nan,nan,nan,nan,0.5643939393939393,0.3712121212121212,0.30492205200306377,nan,nan,nan,nan,nan,nan,nan,0.09090909090909091,0.09090909090909091,0.8181818181818182,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,0.4790997272283723,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,0.4830127232081252,nan,nan,nan,nan,nan,nan,nan,0.16666666666666666,0.16666666666666666,0.6666666666666666,nan,nan,nan,nan,nan,nan,nan
NZ_CP025399,1857468,0.3911792827655712,"(106.59318280220032, 0.771418571472168, 124.68751573562622)",316154,710,nan,nan,nan,nan,nan,nan,nan,nan,0.5944444444444444,0.40555555555555556,nan,nan,nan,nan,nan,nan,nan,nan,0.1,0.9,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.2777777777777778,0.7222222222222222,nan,nan,nan,nan,nan,nan,nan,nan
NC_018673,1645096,0.3724123090688932,"(102.23969435691833, 0.5440864562988281, 121.12345337867737)",1644548,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_021834,1702398,0.3049169465659617,"(106.64614772796631, 0.5482027530670166, 122.63791036605835)",13133,663634,829029,nan,nan,nan,nan,nan,nan,nan,0.6109022556390977,0.2601924801192781,0.23026315789473684,nan,nan,nan,nan,nan,nan,nan,0.2857142857142857,0.21428571428571427,0.5,nan,nan,nan,nan,nan,nan,nan,1.0,0.2027157873062253,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,0.2027157873062253,0.0,nan,nan,nan,nan,nan,nan,nan,0.15789473684210525,0.42105263157894735,0.42105263157894735,nan,nan,nan,nan,nan,nan,nan
NC_017587,1902595,0.6909195073044972,"(113.98865246772766, 0.2536609172821045, 132.0841121673584)",994172,364,1320445,505145,1500102,331170,1681313,nan,nan,nan,0.5138888888888888,0.375,0.3482674200037804,0.29039237815919017,0.23553402866877104,0.20856291311216896,0.14972342834897934,nan,nan,nan,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.5,0.1111111111111111,0.1111111111111111,0.1111111111111111,nan,nan,nan,1.0,0.0,0.6409792844520052,0.5546861417319369,0.44329027955976436,0.3632494338601167,0.24389130114240315,nan,nan,nan,1.0,0.0,0.6409792844520052,0.5513278153492681,0.44329027955976436,0.35989110747744796,0.24389130114240315,nan,nan,nan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
NZ_LT960781,2050232,0.4111817589424026,"(122.53788876533508, 0.7270846366882324, 141.00253295898438)",981,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_001264,412348,0.6668808870177617,"(27.513401746749878, 0.12230205535888672, 31.28456163406372)",185073,319730,409468,35607,255229,146139,80750,nan,nan,nan,0.05,0.044444444444444446,0.03888888888888889,0.03888888888888889,0.027777777777777776,0.027777777777777776,0.022222222222222223,nan,nan,nan,0.2,0.17777777777777778,0.15555555555555556,0.15555555555555556,0.1111111111111111,0.1111111111111111,0.08888888888888889,nan,nan,nan,0,0,0,0,0,0,0,nan,nan,nan,0,0,0,0,0,0,0,nan,nan,nan,0,0,0,0,0,0,0,nan,nan,nan
NC_018631,1893499,0.3667712525858213,"(119.10581469535828, 0.726090669631958, 138.62404346466064)",1893402,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP021529,2025732,0.42237818230644525,"(124.88584303855896, 0.6827332973480225, 144.94450545310974)",10451,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_007575,2201561,0.3446195676613094,"(126.23192715644836, 0.720116376876831, 145.36788177490234)",1053037,827991,1780381,240998,2200741,nan,nan,nan,nan,nan,0.5700000000000001,0.47612009579199654,0.25359530880890874,0.2331398460766705,0.17333333333333334,nan,nan,nan,nan,nan,0.08,0.08,0.2,0.28,0.36,nan,nan,nan,nan,nan,1.0,0.7858503618864915,0.4000068513876915,0.22727860977731087,0.0,nan,nan,nan,nan,nan,1.0,0.7852966879481612,0.4010410505146102,0.22528077452937115,0.0,nan,nan,nan,nan,nan,0.13333333333333333,0.13333333333333333,0.2,0.2,0.3333333333333333,nan,nan,nan,nan,nan
NZ_CP023507,2053209,0.40939816647988586,"(126.95337772369385, 0.7132537364959717, 147.12972331047058)",913,1866950,nan,nan,nan,nan,nan,nan,nan,nan,0.7,0.3,nan,nan,nan,nan,nan,nan,nan,nan,0.5,0.5,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.3,0.7,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP022392,2116570,0.3682424866647453,"(128.2432017326355, 0.6992228031158447, 148.69919896125793)",2062677,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_013016,2145295,0.5194716810508578,"(128.25643658638, 0.7143659591674805, 148.6834454536438)",1930192,381,nan,nan,nan,nan,nan,nan,nan,nan,0.5375,0.4625,nan,nan,nan,nan,nan,nan,nan,nan,0.1,0.9,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.05,0.95,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP025028,2116769,0.3548252076631886,"(130.43202352523804, 0.9938266277313232, 153.45418882369995)",2111351,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_013416,2105791,0.44553139414120396,"(130.3059811592102, 0.8698337078094482, 153.04387378692627)",682519,1034206,437963,1221411,76474,nan,nan,nan,nan,nan,0.6111607142857143,0.5375312808278028,0.4406468188654072,0.3837528216463181,0.1234375,nan,nan,nan,nan,nan,0.05714285714285714,0.2571428571428571,0.2571428571428571,0.02857142857142857,0.4,nan,nan,nan,nan,nan,1.0,0.9506917803133431,0.5964722091593858,0.6417955762360881,0.0,nan,nan,nan,nan,nan,1.0,0.9547904858550108,0.5964722091593858,0.6458942817777558,0.0,nan,nan,nan,nan,nan,0.1875,0.1875,0.3125,0.21875,0.09375,nan,nan,nan,nan,nan
NZ_CP007631,2221207,0.35493900388392435,"(137.9160122871399, 0.8487083911895752, 160.75844955444336)",2220529,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_021887,1038817,0.41326624419893015,"(67.87465596199036, 0.31976318359375, 75.41481685638428)",716297,9,nan,nan,nan,nan,nan,nan,nan,nan,0.8116883116883117,0.18831168831168832,nan,nan,nan,nan,nan,nan,nan,nan,0.8181818181818182,0.18181818181818182,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.42857142857142855,0.5714285714285714,nan,nan,nan,nan,nan,nan,nan,nan
NC_017278,2243772,0.6860594570214799,"(138.01124787330627, 0.7507917881011963, 162.87979125976562)",1744524,52536,269846,2021414,nan,nan,nan,nan,nan,nan,0.5762987012987013,0.3522727272727273,0.2773385079917542,0.22784381999062708,nan,nan,nan,nan,nan,nan,0.21428571428571427,0.5,0.14285714285714285,0.14285714285714285,nan,nan,nan,nan,nan,nan,1.0,0.0,0.48487972278562075,0.38218054188895806,nan,nan,nan,nan,nan,nan,1.0,0.0,0.4816171663242533,0.3863375952164075,nan,nan,nan,nan,nan,nan,0.09090909090909091,0.9090909090909091,0.0,0.0,nan,nan,nan,nan,nan,nan
