RefSeq,Sequence_length,GC_Concentration,Time,oriC_middles_0,oriC_middles_1,oriC_middles_2,oriC_middles_3,oriC_middles_4,oriC_middles_5,oriC_middles_6,oriC_middles_7,oriC_middles_8,oriC_middles_9,Avg_Occurance_oriC_0,Avg_Occurance_oriC_1,Avg_Occurance_oriC_2,Avg_Occurance_oriC_3,Avg_Occurance_oriC_4,Avg_Occurance_oriC_5,Avg_Occurance_oriC_6,Avg_Occurance_oriC_7,Avg_Occurance_oriC_8,Avg_Occurance_oriC_9,Z_Occurance_oriC_0,Z_Occurance_oriC_1,Z_Occurance_oriC_2,Z_Occurance_oriC_3,Z_Occurance_oriC_4,Z_Occurance_oriC_5,Z_Occurance_oriC_6,Z_Occurance_oriC_7,Z_Occurance_oriC_8,Z_Occurance_oriC_9,G_Occurance_oriC_0,G_Occurance_oriC_1,G_Occurance_oriC_2,G_Occurance_oriC_3,G_Occurance_oriC_4,G_Occurance_oriC_5,G_Occurance_oriC_6,G_Occurance_oriC_7,G_Occurance_oriC_8,G_Occurance_oriC_9,D_Occurance_oriC_0,D_Occurance_oriC_1,D_Occurance_oriC_2,D_Occurance_oriC_3,D_Occurance_oriC_4,D_Occurance_oriC_5,D_Occurance_oriC_6,D_Occurance_oriC_7,D_Occurance_oriC_8,D_Occurance_oriC_9,Prediction_oriC_0,Prediction_oriC_1,Prediction_oriC_2,Prediction_oriC_3,Prediction_oriC_4,Prediction_oriC_5,Prediction_oriC_6,Prediction_oriC_7,Prediction_oriC_8,Prediction_oriC_9
NC_016931,1263719,0.32605112370708994,"(158.73546266555786, 0.7602455615997314, 190.73519039154053)",1220368,482920,892462,245232,119127,nan,nan,nan,nan,nan,0.32609598315861693,0.31459618809715145,0.27866592160328785,0.24299793340196893,0.19061698102101654,nan,nan,nan,nan,nan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.5,nan,nan,nan,nan,nan,0.23543080661870786,0.6009314214343116,0.7645691933812921,0.22899380020590676,0.22899380020590676,nan,nan,nan,nan,nan,0.6,0.2,0.2,0.0,0.0,nan,nan,nan,nan,nan,-1.7405353198017233,-1.054089401298996,-1.2554881941227345,-1.029357357096928,-0.99973617202025,nan,nan,nan,nan,nan
NC_021897,1046171,0.41313704929691225,"(172.85820841789246, 0.5954775810241699, 196.07268571853638)",9,723610,nan,nan,nan,nan,nan,nan,nan,nan,0.47053443163264924,0.41588921815899166,nan,nan,nan,nan,nan,nan,nan,nan,0.18181818181818182,0.8181818181818182,nan,nan,nan,nan,nan,nan,nan,nan,0.6583565416511945,0.0009144077237281945,nan,nan,nan,nan,nan,nan,nan,nan,0.5714285714285714,0.42857142857142855,nan,nan,nan,nan,nan,nan,nan,nan,-0.9640556533851958,1.0957042575886637,nan,nan,nan,nan,nan,nan,nan,nan
NC_017042,1290368,0.3240563932149588,"(172.57052564620972, 0.5749268531799316, 204.23718690872192)",810092,80653,1043683,1166587,353571,nan,nan,nan,nan,nan,0.4149513158875718,0.382147934839335,0.31589249235816,0.27800656079922464,0.12959770372027138,nan,nan,nan,nan,nan,0.6470588235294118,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.058823529411764705,nan,nan,nan,nan,nan,0.8660304182509506,0.21938498098859316,0.7100304182509506,0.47637262357414445,0.2899695817490494,nan,nan,nan,nan,nan,0.32,0.28,0.12,0.24,0.04,nan,nan,nan,nan,nan,0.26980212643813584,-1.1069601570175687,-1.0086711531385797,-1.0226625474488324,-1.0632572227831654,nan,nan,nan,nan,nan
NC_021891,1061854,0.41489602148694643,"(186.14165902137756, 0.9192240238189697, 210.9178183078766)",9,723643,817614,nan,nan,nan,nan,nan,nan,nan,0.44881793535680253,0.39315801548161006,0.20797283029642485,nan,nan,nan,nan,nan,nan,nan,0.16666666666666666,0.75,0.08333333333333333,nan,nan,nan,nan,nan,nan,nan,0.7353426949592966,0.2072518242226078,0.2072518242226079,nan,nan,nan,nan,nan,nan,nan,0.4444444444444444,0.2222222222222222,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,-1.4569073231083403,1.0000177969508561,-1.0963972584367534,nan,nan,nan,nan,nan,nan,nan
NC_013532,1206806,0.49984918868484246,"(196.5674068927765, 1.2093043327331543, 219.99675369262695)",76842,403472,795186,272100,1143021,nan,nan,nan,nan,nan,0.4278371846733539,0.31592432837422696,0.26592432837422697,0.25882352941176473,0.25430777290864803,nan,nan,nan,nan,nan,0.5294117647058824,0.11764705882352941,0.11764705882352941,0.17647058823529413,0.058823529411764705,nan,nan,nan,nan,nan,0.4540997893141794,0.4540997893141794,0.5801259262991515,0.5801259262991515,0.5,nan,nan,nan,nan,nan,0.3,0.25,0.25,0.1,0.1,nan,nan,nan,nan,nan,-0.815178425247411,-1.0951429884115962,-1.0925154730913684,-0.9948612334993792,-1.16484068935985,nan,nan,nan,nan,nan
NC_017366,1578824,0.3886037962432798,"(226.08986568450928, 1.0588912963867188, 258.4789066314697)",1509939,148945,589739,1352212,1053580,769484,nan,nan,nan,nan,0.39022767490312865,0.3591735438489976,0.26607664352558713,0.21596809366241562,0.1973094790788399,0.17708155885091967,nan,nan,nan,nan,0.38461538461538464,0.2692307692307692,0.038461538461538464,0.11538461538461539,0.11538461538461539,0.07692307692307693,nan,nan,nan,nan,0.6082898623162236,0.6082898623162236,0.5050675374143682,0.40944274252570845,0.34321048851857094,0.34321048851857094,nan,nan,nan,nan,0.17777777777777778,0.17777777777777778,0.2,0.2,0.13333333333333333,0.1111111111111111,nan,nan,nan,nan,-1.080329424886572,-1.0903403317980898,-1.009256131016273,-1.0669754922070647,-1.0300960165774464,-1.0431889248887822,nan,nan,nan,nan
NC_019439,819965,0.382121188099492,"(130.77964758872986, 0.37848520278930664, 148.88724517822266)",84267,2174,487196,148130,326673,738452,623614,233587,nan,nan,0.14886039886039887,0.1346153846153846,0.0811965811965812,0.07905982905982906,0.07193732193732194,0.07193732193732194,0.060541310541310546,0.018518518518518517,nan,nan,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.25,0.16666666666666666,0.08333333333333333,0.027777777777777776,0.05555555555555555,nan,nan,0,0,0,0,0,0,0,0,nan,nan,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,nan,nan,-1.0038038105703047,-1.0196691613014375,-1.0196691613014375,-1.0088945871075063,-1.0275622182844026,-1.0170032833774778,-0.9998675631943579,-1.0074988533190075,nan,nan
NC_002936,1469720,0.48850257191846064,"(232.37650394439697, 0.8748815059661865, 268.17519068717957)",1710,1299062,987594,842699,nan,nan,nan,nan,nan,nan,0.47259438766499073,0.4345479426606014,0.303133761403316,0.2004825354119323,nan,nan,nan,nan,nan,nan,0.6923076923076923,0.15384615384615385,0.07692307692307693,0.07692307692307693,nan,nan,nan,nan,nan,nan,0.7254754706872799,0.7267207510587275,0.5055551303637941,0.2745245293127201,nan,nan,nan,nan,nan,nan,0.0,0.5,0.25,0.25,nan,nan,nan,nan,nan,nan,-1.1381127963129964,-1.5752786169567168,-1.0446762965412555,-1.059761928779296,nan,nan,nan,nan,nan,nan
NC_016628,1621862,0.5054591574375625,"(225.76103830337524, 0.8933620452880859, 268.8104798793793)",1031498,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6666666666666666,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0004439049951364,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_022660,1658752,0.31446292152172234,"(242.10027647018433, 0.6621181964874268, 284.9792466163635)",3286,222808,1508826,nan,nan,nan,nan,nan,nan,nan,0.7531833151714444,0.17947661748848812,0.17430490360937076,nan,nan,nan,nan,nan,nan,nan,0.8181818181818182,0.09090909090909091,0.09090909090909091,nan,nan,nan,nan,nan,nan,nan,0.996923682888071,0.0030763171119290167,0.32089450880791015,nan,nan,nan,nan,nan,nan,nan,0.4444444444444444,0.4444444444444444,0.1111111111111111,nan,nan,nan,nan,nan,nan,nan,1.0709957250703317,-1.0196079311334936,-1.025454509428017,nan,nan,nan,nan,nan,nan,nan
NC_011025,820453,0.3070949828935966,"(131.95119905471802, 0.3972764015197754, 150.25251364707947)",816159,712246,141334,104046,176805,224876,613893,262377,362659,482107,0.445582901916727,0.2886707720487934,0.285743670175132,0.2684155100070578,0.25594898706502817,0.20427360764231742,0.15884218433118152,0.1389110525280893,0.10913090279707773,0.09203332191249598,0.22727272727272727,0.1590909090909091,0.1590909090909091,0.1590909090909091,0.06818181818181818,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.11363636363636363,0.045454545454545456,0.9983648673663427,0.7069214070554711,0.6223825256769112,0.7269637017383451,0.5228974662455896,0.3880733481794776,0.4310720075389991,0.2828947737458841,0.0016351326336574434,0.06145350109102332,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.05555555555555555,-1.2822577831741535,-1.0299662603333113,-0.9977966980348763,-1.1066953780459778,-1.6293786894554936,-1.0004286905537194,-1.058395899609537,-1.0153388767950426,-1.027859437159436,-1.0462802144448355
NC_003912,1777831,0.30306142709852624,"(267.06341648101807, 1.328202247619629, 308.2585115432739)",1747387,195408,nan,nan,nan,nan,nan,nan,nan,nan,0.7231580020356213,0.27684199796437864,nan,nan,nan,nan,nan,nan,nan,nan,0.6111111111111112,0.3888888888888889,nan,nan,nan,nan,nan,nan,nan,nan,0.9958628949957529,0.0041371050042471325,nan,nan,nan,nan,nan,nan,nan,nan,0.5625,0.4375,nan,nan,nan,nan,nan,nan,nan,nan,1.1726324494141762,-1.1059770549667585,nan,nan,nan,nan,nan,nan,nan,nan
NC_020511,1043022,0.41300183505237664,"(179.04941391944885, 0.4007270336151123, 205.7949242591858)",4,721054,nan,nan,nan,nan,nan,nan,nan,nan,0.44811599825602993,0.4396296516636935,nan,nan,nan,nan,nan,nan,nan,nan,0.18181818181818182,0.8181818181818182,nan,nan,nan,nan,nan,nan,nan,nan,0.662529812949908,0.0007071368092622654,nan,nan,nan,nan,nan,nan,nan,nan,0.5,0.5,nan,nan,nan,nan,nan,nan,nan,nan,-0.9974401621988074,1.337011693802281,nan,nan,nan,nan,nan,nan,nan,nan
NC_010677,1893886,0.32254211710736547,"(276.16945457458496, 1.1756675243377686, 321.2474477291107)",24834,1677419,693996,nan,nan,nan,nan,nan,nan,nan,0.7643467643467643,0.3897416256665586,0.08302808302808302,nan,nan,nan,nan,nan,nan,nan,0.7692307692307693,0.07692307692307693,0.15384615384615385,nan,nan,nan,nan,nan,nan,nan,1.0,0.711349419124218,0.0,nan,nan,nan,nan,nan,nan,nan,0.5238095238095238,0.38095238095238093,0.09523809523809523,nan,nan,nan,nan,nan,nan,nan,1.0283359142252975,-1.7675571523507125,-1.0258540056674699,nan,nan,nan,nan,nan,nan,nan
NC_023151,1869644,0.46248965043612583,"(279.60664916038513, 0.9705255031585693, 328.97888374328613)",1826827,803159,1303201,383794,1116957,948449,1546594,nan,nan,nan,0.32746600654551444,0.3043934899004698,0.29583178108414393,0.28949108032515175,0.20288306313542603,0.17724203749440037,0.16121639646875938,nan,nan,nan,0.2692307692307692,0.2692307692307692,0.07692307692307693,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.038461538461538464,nan,nan,nan,0.617013404251928,0.5189497004706403,0.36826457402166257,0.6665501640523783,0.3682645740216627,0.3682645740216627,0.3682645740216627,nan,nan,nan,0.125,0.125,0.125,0.125,0.25,0.25,0.0,nan,nan,nan,-1.0367253142187716,-0.9963641178283931,-1.049239579582875,-1.0034284768110249,-1.117058745778622,-1.117058745778622,-1.3413708360021426,nan,nan,nan
NC_020943,1042140,0.41299729402959295,"(168.08927011489868, 0.45041418075561523, 191.03456950187683)",4,720223,nan,nan,nan,nan,nan,nan,nan,nan,0.5038583412672112,0.38419794443054295,nan,nan,nan,nan,nan,nan,nan,nan,0.18181818181818182,0.8181818181818182,nan,nan,nan,nan,nan,nan,nan,nan,0.6630901753167853,0.0010786817764772971,nan,nan,nan,nan,nan,nan,nan,nan,0.6666666666666666,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,nan,-1.179882279742416,1.0058905379648015,nan,nan,nan,nan,nan,nan,nan,nan
NC_017951,1042736,0.4131045633794172,"(173.81060028076172, 0.5835762023925781, 195.66288471221924)",4,720783,nan,nan,nan,nan,nan,nan,nan,nan,0.44837103944494167,0.43976943691524256,nan,nan,nan,nan,nan,nan,nan,nan,0.18181818181818182,0.8181818181818182,nan,nan,nan,nan,nan,nan,nan,nan,0.6632949365166433,0.0011264925639093981,nan,nan,nan,nan,nan,nan,nan,nan,0.5,0.5,nan,nan,nan,nan,nan,nan,nan,nan,-0.9998319246117058,1.340622801116779,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LN515399,1017183,0.236664395688878,"(144.0395483970642, 0.6852321624755859, 167.94309639930725)",5502,897009,89915,270306,431476,637908,nan,nan,nan,nan,0.4641203703703704,0.4057358515099774,0.3888062188719916,0.17820214183651273,0.13078703703703703,0.10807663295916686,nan,nan,nan,nan,0.15625,0.15625,0.03125,0.28125,0.28125,0.09375,nan,nan,nan,nan,1.0,0.7276242211965989,0.8018353232826416,0.3783564255095382,0.0,0.11936878776638948,nan,nan,nan,nan,0.3333333333333333,0.3333333333333333,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,nan,nan,nan,nan,-0.5654267826669299,-1.4655713787397469,-1.574253315078221,-1.0234015016023656,-1.0210329740127415,-1.0320380024378162,nan,nan,nan,nan
NC_007509,1395069,0.6527483586833339,"(191.45263028144836, 1.3208026885986328, 228.65402960777283)",5308,775876,nan,nan,nan,nan,nan,nan,nan,nan,0.28205128205128205,0.05128205128205129,nan,nan,nan,nan,nan,nan,nan,nan,0.8461538461538461,0.15384615384615385,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,1.2229646970941124,-1.032439836155107,nan,nan,nan,nan,nan,nan,nan,nan
NC_020964,1042789,0.41302123440120675,"(162.23439359664917, 0.3563687801361084, 182.22633385658264)",4,720824,nan,nan,nan,nan,nan,nan,nan,nan,0.4483431161688474,0.43975860052767396,nan,nan,nan,nan,nan,nan,nan,nan,0.18181818181818182,0.8181818181818182,nan,nan,nan,nan,nan,nan,nan,nan,0.6632111666883604,0.001093983401203702,nan,nan,nan,nan,nan,nan,nan,nan,0.5,0.5,nan,nan,nan,nan,nan,nan,nan,nan,-0.9995694898249363,1.3403433831317377,nan,nan,nan,nan,nan,nan,nan,nan
NC_017430,1042354,0.4131149302444275,"(161.04373621940613, 0.5053634643554688, 182.0265040397644)",9,719820,nan,nan,nan,nan,nan,nan,nan,nan,0.5038727996780122,0.3838513010514486,nan,nan,nan,nan,nan,nan,nan,nan,0.18181818181818182,0.8181818181818182,nan,nan,nan,nan,nan,nan,nan,nan,0.6631335505491882,3.8751639194312126e-05,nan,nan,nan,nan,nan,nan,nan,nan,0.6666666666666666,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,nan,-1.180025679912469,0.9957415458693779,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP017125,1016707,0.23672208414026855,"(147.67472505569458, 0.6354274749755859, 172.2005259990692)",5499,896713,89912,270321,431500,637079,nan,nan,nan,nan,0.4641203703703704,0.40588010324180246,0.38881040543984113,0.17820119064665732,0.13078703703703703,0.10781667820376356,nan,nan,nan,nan,0.15625,0.15625,0.03125,0.28125,0.28125,0.09375,nan,nan,nan,nan,1.0,0.7280569763920741,0.8018478829861901,0.378353571939972,0.0,0.11858892350017958,nan,nan,nan,nan,0.3333333333333333,0.3333333333333333,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,nan,nan,nan,nan,-0.5654267826669299,-1.4667540576881288,-1.5742221872773685,-1.0234019180686014,-1.0210329740127415,-1.032385206234637,nan,nan,nan,nan
NZ_CP017658,1199640,0.28742372711813546,"(192.61763501167297, 0.6441986560821533, 225.96736097335815)",18,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8333333333333334,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9999320490793897,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_017365,1570564,0.38829681566621926,"(232.37035036087036, 1.2873554229736328, 261.05967903137207)",1481838,832327,340745,21718,655465,nan,nan,nan,nan,nan,0.4006842531476584,0.3232703380257746,0.27349813345007246,0.2309208690226878,0.1945507650290198,nan,nan,nan,nan,nan,0.47368421052631576,0.2631578947368421,0.15789473684210525,0.05263157894736842,0.05263157894736842,nan,nan,nan,nan,nan,0.5967896015482383,0.5224425930246922,0.34681018982390155,0.34681018982390155,0.4559205018049055,nan,nan,nan,nan,nan,0.13157894736842105,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.3157894736842105,nan,nan,nan,nan,nan,-0.979482246488943,-1.0618892471389936,-1.079803573381441,-1.0282372047715862,-1.0563542909235943,nan,nan,nan,nan,nan
