RefSeq,D_idx,Z_idx,Distance_bp,Distance_pc
NZ_CP014476,0,0,138015,2
NZ_CP017715,0,0,9519,0
NZ_CP018420,0,0,854,0
NC_014306,0,0,2485,0
NC_012846,0,0,320,0
NZ_CP011412,0,0,6360,0
NZ_CP016022,0,0,116052,2
NC_014012,0,0,30760,0
NC_014220,0,0,2708,0
NC_014220,1,0,1233,0
NC_015312,0,0,52596,0
NC_021039,0,0,293161,11
NC_014759,0,0,14775,0
NZ_CP016020,0,0,43932,1
NZ_CP016020,1,0,45902,1
NZ_CP008953,0,0,106970,1
NZ_CP024159,0,0,8153,0
NC_018695,0,0,16081,0
NZ_CP016768,0,0,6344,0
NZ_CP016768,1,0,8062,0
NZ_CP016775,0,0,36303,2
NZ_CP016775,1,0,38029,2
NZ_CP022464,0,0,3523,0
NZ_CP022464,1,0,1790,0
NZ_CP016776,0,0,12063,0
NZ_CP016776,1,0,10369,0
NZ_CP016770,0,0,4520,0
NZ_CP016770,1,0,2796,0
NC_018631,0,0,145,0
NZ_CP016771,0,0,34111,2
NZ_CP016771,1,0,35866,2
NZ_CP016779,0,0,14271,1
NZ_CP016779,1,0,16007,1
NC_014831,0,0,4558,0
NZ_CP011361,0,0,6734,0
NZ_CP011361,1,0,4997,0
NZ_CP013023,0,0,7203,0
NZ_CP013023,1,0,5410,0
NC_012704,0,0,3787,0
NC_012704,1,0,1153,0
NZ_CP010896,0,0,7157,0
NZ_CP020046,0,0,6596,0
NC_015172,0,0,7978,0
NC_015172,1,0,6382,0
NZ_CP011005,0,0,1181,0
NC_021352,0,0,7004,0
NC_004347,0,0,6163,0
NC_018068,0,0,802,0
NC_018068,1,0,868,0
NC_016818,0,0,26917,0
NC_020127,0,0,19273,1
NZ_CP017466,0,0,10260,0
NZ_CP017466,1,0,8413,0
NC_014926,0,0,763197,45
NZ_CP023668,0,0,6004,0
NZ_CP024965,0,0,151,0
NC_012560,0,0,15150,0
NZ_AP014836,0,0,618,0
NZ_CP014332,0,0,1159,0
NZ_CP014332,1,0,708,0
NC_007964,0,0,61388,1
NC_014655,0,0,7537,0
NC_016842,0,0,1075,0
NC_014221,0,0,14608,0
NC_007484,0,0,1904,0
NC_014829,0,0,6891,0
NC_014829,1,0,4991,0
NC_004757,0,0,20022,0
NZ_CP006569,0,0,2460,0
NZ_CP011530,0,0,74,0
NZ_CP013990,0,0,44816,0
NZ_CP014322,0,0,28653,0
NC_004917,0,0,24707,1
NC_020055,0,0,1607758,43
NZ_CP011494,0,0,10598,0
NC_006510,0,0,2707,0
NC_006510,1,0,4384,0
NZ_CP022043,0,0,944,0
NC_015713,0,0,4447,0
NZ_CP013911,0,0,1082,0
NZ_CP013911,1,0,2927,0
NC_020054,0,0,8573,0
NC_017287,0,0,55,0
NZ_CP022684,0,0,15626,0
NZ_CP009687,0,0,0,0
NZ_CP009687,1,0,1770,0
NC_014041,0,0,25440,0
NZ_CP020038,0,0,10006,0
NZ_CP018799,0,0,3006,0
NZ_CP010897,0,0,17829,0
NZ_CP023011,0,0,16207,0
NZ_CP023011,1,0,17902,0
NZ_CP012676,0,0,41848,0
NC_021081,0,0,1452021,46
NC_021081,1,0,1450283,46
NZ_CP011807,0,0,14306,0
NZ_CP013661,0,0,2935,0
NZ_CP013661,1,0,4611,0
NC_021487,0,0,7146,0
NZ_CP014161,0,0,38546,1
NC_007204,0,0,531,0
NC_014654,0,0,2831,0
NC_014654,1,0,4661,0
NZ_CP014164,0,0,44938,2
NZ_CP014164,1,0,43123,1
NZ_CP003915,0,0,33173,0
NZ_CP022272,0,0,2407,0
NC_005070,0,0,616,0
NC_014774,0,0,293289,23
NC_008344,0,0,122596,4
NZ_CP019650,0,0,20757,0
NC_008346,0,0,34,0
NC_008554,0,0,1437854,28
NZ_CP012908,0,0,20245,0
NZ_CP014945,0,0,7331,0
NZ_CP015405,0,0,5703,0
NZ_CP015405,1,0,3825,0
NZ_CP014842,0,0,25815,0
NZ_CP014842,1,0,24066,0
NZ_CP009056,0,0,1743,0
NC_013861,0,0,495,0
NC_007530,0,0,3203,0
NC_007530,1,0,4914,0
NC_003869,0,0,1449,0
NC_003869,1,0,243,0
NZ_CP013481,0,0,62310,1
NC_005090,0,0,3945,0
NZ_CP004078,0,0,1611,0
NZ_CP013480,0,0,15518,0
NZ_CP016622,0,0,4393,0
NZ_CP016622,1,0,2715,0
NC_007498,0,0,149,0
NC_023018,0,0,2314487,42
NZ_CP017305,0,0,1935,0
NZ_CP017305,1,0,3762,0
NC_008609,0,0,1936,0
NZ_CP010310,0,0,16087,0
NC_014814,0,0,6659,0
NC_014814,1,0,4599,0
NZ_CP012750,0,0,6338,0
NZ_CP012750,1,0,4408,0
NZ_LT906435,0,0,59297,1
NC_010321,0,0,620,0
NC_021846,0,0,3155,0
NC_021833,0,0,3962,0
NZ_CP014616,0,0,7848,0
NZ_CP014616,1,0,6160,0
NC_021280,0,0,261,0
NC_021284,0,0,4598,0
NZ_CP012024,0,0,3110,0
NZ_CP012024,1,0,1375,0
NC_022998,0,0,1395,0
NZ_CP017962,0,0,1976,0
NZ_CP013235,0,0,60113,1
NC_007626,0,0,820,0
NZ_CP013239,0,0,407680,10
NZ_CP013239,1,0,405939,10
NZ_LT906477,0,0,126,0
NZ_CP013236,0,0,89155,1
NZ_CP020472,0,0,15463,0
NZ_CP019706,0,0,31259,0
NC_020126,0,0,13074,0
NC_016631,0,0,140524,2
NZ_CP020559,0,0,37336,0
NZ_CP020559,1,0,39090,0
NZ_CP013019,0,0,3150,0
NZ_CP013019,1,0,1364,0
NC_012039,0,0,1300,0
NZ_CP004350,0,0,9271,0
NZ_CP004350,1,0,6637,0
NC_007164,0,0,18917,0
NC_007164,1,0,16505,0
NZ_CP015285,0,0,550044,17
NZ_CP012621,0,0,7198,0
NZ_CP018139,0,0,154789,4
NC_008789,0,0,1319095,49
NZ_CP007452,0,0,1175,0
NZ_CP007452,1,0,624,0
NZ_CP013450,0,0,46565,1
NC_009253,0,0,6599,0
NC_009253,1,0,4967,0
NZ_LT906460,0,0,8994,0
NZ_LT906460,1,0,7148,0
NZ_CP014150,0,0,440,0
NZ_CP014150,1,0,1298,0
NC_011295,0,0,46408,3
NC_013891,0,0,10244,0
NC_013891,1,0,11949,0
NC_011297,0,0,1833,0
NZ_CP021434,0,0,12210,0
NZ_CP021434,1,0,13819,0
NC_007645,0,0,2621,0
NC_014934,0,0,90804,1
NC_014334,0,0,1831,0
NC_014334,1,0,185,0
NC_007614,0,0,11933,0
NC_016629,0,0,90414,2
NC_009092,0,0,16310,0
NZ_LT604074,0,0,748,0
NZ_LT604074,1,0,2449,0
NC_009922,0,0,5125,0
NC_009922,1,0,3346,0
NC_010175,0,0,1995519,37
NZ_CP021497,0,0,3856,0
NC_011753,0,0,7488,0
NZ_LT906444,0,0,2583,0
NZ_LT906444,1,0,4287,0
NC_016901,0,0,12445,0
NC_008700,0,0,1675,0
NC_007618,0,0,1679,0
NC_014933,0,0,38704,0
NZ_CP007519,0,0,15023,0
NC_010645,0,0,7927,0
NZ_CP007287,0,0,5447,0
NZ_CP007287,1,0,3252,0
NC_008278,0,0,18020,0
NZ_CP007255,0,0,42738,0
NZ_CP022544,0,0,11448,0
NZ_CP022544,1,0,13437,0
NZ_CP018845,0,0,1855470,34
NC_014734,0,0,1128867,30
NC_017470,0,0,1345,0
NZ_AP014680,0,0,119,0
NZ_AP014680,1,0,1789,0
NC_014932,0,0,594,0
NZ_CP009251,0,0,5150,0
NZ_CP009251,1,0,7755,0
NZ_CP011602,0,0,1665,0
NC_015589,0,0,1337,0
NC_015589,1,0,309,0
NZ_CP012622,0,0,4357,0
NZ_CP016826,0,0,585,0
NZ_CP016826,1,0,3004,0
NZ_CP019959,0,0,1980,0
NC_009483,0,0,40169,0
NC_009483,1,0,41767,0
NZ_CP016540,0,0,1895,0
NZ_CP016540,1,0,221,0
NC_008578,0,0,4652,0
NC_008578,1,0,2727,0
NC_015520,0,0,6161,0
NC_015520,1,0,4469,0
NC_009437,0,0,20278,0
NC_009437,1,0,18427,0
NC_015958,0,0,1782,0
NC_014315,0,0,2918,0
NZ_CP019962,0,0,5386,0
NZ_CP019962,1,0,7167,0
NZ_FO704550,0,0,13580,0
NC_014833,0,0,16352,0
NC_014833,1,0,14380,0
NZ_CP022358,0,0,23798,0
NC_018704,0,0,7049,0
NC_018704,1,0,5301,0
NZ_CP016176,0,0,29162,0
NZ_CP018193,0,0,2348,0
NC_007777,0,0,21290,0
NC_020059,0,0,11825,0
NZ_CP021323,0,0,34771,0
NZ_CP015880,0,0,3205,0
NC_008781,0,0,5267,0
NC_008781,1,0,3340,0
NZ_CP017482,0,0,2445,0
NZ_CP022741,0,0,6308,0
NC_019970,0,0,15707,0
NC_023035,0,0,3145,0
NC_013895,0,0,97037,5
NC_015677,0,0,394094,9
NZ_CP011269,0,0,5608,0
NC_008709,0,0,1178,0
NZ_CP007029,0,0,8201,0
NC_010001,0,0,6910,0
NC_015554,0,0,4834,0
NZ_CP017754,0,0,311582,7
NZ_CP022989,0,0,2368,0
NZ_CP024199,0,0,29548,0
NZ_CP023422,0,0,164180,2
NC_014225,0,0,41832,1
NZ_CP011028,0,0,9816,0
NC_021181,0,0,1242,0
NC_009380,0,0,8883,0
NZ_CP019343,0,0,35159,0
NC_022538,0,0,3935,0
NZ_CP011381,0,0,9155,0
NC_019897,0,0,284551,6
NZ_CP007030,0,0,7338,0
NC_015581,0,0,25672,1
NZ_CP024955,0,0,2776,0
NZ_CP024955,1,0,1090,0
NZ_CP012746,0,0,49362,1
NC_015276,0,0,14698,0
NZ_CP012808,0,0,7712,0
NC_016627,0,0,15039,0
NC_016627,1,0,16948,0
NC_011899,0,0,386,0
NC_011899,1,0,2302,0
NZ_CP014873,0,0,158,0
NZ_CP014873,1,0,1872,0
NZ_CP007520,0,0,143,0
NZ_CP009159,0,0,2359,0
NZ_CP023536,0,0,55487,1
NC_015732,0,0,289,0
NC_018013,0,0,9909,0
NC_015499,0,0,355,0
NC_009142,0,0,184981,2
NC_019978,0,0,1714,0
NC_019978,1,0,16,0
NZ_LT828648,0,0,7623,0
NC_014328,0,0,946,0
NC_014328,1,0,2724,0
NC_014935,0,0,5188,0
NZ_CP016440,0,0,32551,0
NZ_CP007810,0,0,180417,4
NC_010161,0,0,9260,0
NC_017857,0,0,7106,0
NZ_CP011366,0,0,65554,2
NZ_CP011366,1,0,63903,2
NC_010622,0,0,56585,1
NC_021219,0,0,11388,1
NC_021252,0,0,130237,1
NC_015730,0,0,107658,2
NC_015321,0,0,2917,0
NC_008571,0,0,19906,0
NC_008571,1,0,21816,0
NC_020911,0,0,16927,0
NZ_CP012871,0,0,43288,0
NC_018017,0,0,60,0
NC_018017,1,0,1728,0
NC_018420,0,0,16677,1
NC_018420,1,0,13327,1
NC_022571,0,0,13778,0
NC_022571,1,0,15512,0
NC_008751,0,0,12047,0
NZ_CP009888,0,0,4714,0
NC_015564,0,0,63994,1
NZ_CP004387,0,0,10862,0
NC_009505,0,0,1689,0
NZ_CP017996,0,0,1350,0
NC_021287,0,0,54270,1
NC_010506,0,0,26145,0
NC_010644,0,0,4311,0
NC_015702,0,0,1151,0
NC_008260,0,0,547,0
NZ_CP007496,0,0,6665,0
NZ_CP017704,0,0,2939,0
NZ_CP017704,1,0,1185,0
NC_017033,0,0,1871,0
NC_017033,1,0,242,0
NC_011898,0,0,13530,0
NC_011898,1,0,11820,0
NZ_CP011491,0,0,2075,0
NZ_CP024411,0,0,118,0
NZ_CP024411,1,0,1477,0
NC_021184,0,0,531,0
NZ_CP009170,0,0,5182,0
NZ_FO704551,0,0,40740,1
NC_014532,0,0,21616,0
NC_014394,0,0,913,0
NC_015567,0,0,1033,0
NC_010524,0,0,19603,0
NC_014758,0,0,5767,0
NC_018515,0,0,828,0
NC_018515,1,0,2591,0
NC_010581,0,0,61545,1
NC_013456,0,0,8240,0
NC_016584,0,0,545,0
NC_016584,1,0,2217,0
NC_023029,0,0,22812,1
NC_011666,0,0,29296,0
NZ_CP011030,0,0,679,0
NC_011901,0,0,15358,0
NC_011901,1,0,16948,0
NZ_CP013704,0,0,9196,1
NZ_CP002082,0,0,471,0
NC_016026,0,0,1535,0
NC_022524,0,0,3730,0
NC_022524,1,0,1780,0
NC_022041,0,0,8902,0
NC_015572,0,0,5761,0
NC_012669,0,0,1372,0
NC_012669,1,0,3385,0
NZ_CP018321,0,0,12394,0
NC_010681,0,0,45291,1
NC_015555,0,0,17174,0
NZ_CP011036,0,0,10661,0
NC_013037,0,0,23329,0
NZ_CP020773,0,0,2565,0
NZ_CP020773,1,0,861,0
NC_009901,0,0,17980,0
NC_013159,0,0,3078,0
NZ_LN849456,0,0,5486,0
NZ_LN849456,1,0,7667,0
NC_013960,0,0,137,0
NC_014909,0,0,13182,1
NZ_CP024727,0,0,26883,1
NZ_LT906439,0,0,11914,0
NZ_CP014007,0,0,126720,2
NC_008576,0,0,28544,0
NZ_LT906467,0,0,12039,0
NZ_LT906467,1,0,14464,0
NZ_CP019082,0,0,30222,0
NZ_CP010822,0,0,3230,0
NZ_CP021358,0,0,64367,1
NZ_CP009215,0,0,33282,1
NZ_CP009215,1,0,31087,1
NC_016620,0,0,1013,0
NC_015152,0,0,1628,0
NC_013440,0,0,5033,0
NZ_CP020772,0,0,14239,0
NZ_CP020772,1,0,12457,0
NC_016633,0,0,1202,0
NZ_CP017075,0,0,16127,0
NC_015684,0,0,89177,2
NZ_AP012333,0,0,7193,0
NZ_AP012333,1,0,4789,0
NZ_CP023525,0,0,51153,0
NZ_CP014176,0,0,132332,2
NZ_CP014176,1,0,130547,2
NC_013517,0,0,9054,0
NZ_CP024035,0,0,2460,0
NZ_CP024035,1,0,647,0
NC_011244,0,0,6922,0
NC_009465,0,0,1396,0
NZ_LT906446,0,0,912,0
NC_008610,0,0,4151,0
NC_012881,0,0,2664,0
NC_017668,0,0,3707,0
NC_017668,1,0,1925,0
NC_009495,0,0,44,0
NC_009495,1,0,1710,0
NC_014150,0,0,15755,0
NZ_CP013232,0,0,109697,1
NC_015167,0,0,494588,13
NC_015385,0,0,6925,0
NZ_CP006842,0,0,5681,0
NZ_CP016278,0,0,1828,0
NZ_CP011158,0,0,529,0
NC_017583,0,0,1898,0
NC_013441,0,0,35810,0
NC_013441,1,0,37908,0
NC_007481,0,0,9573,0
NC_014212,0,0,43941,1
NC_005042,0,0,31,0
NZ_CP016543,0,0,2805,0
NZ_CP016543,1,0,1026,0
NC_003910,0,0,3220,0
NZ_CP022752,0,0,3230,0
NC_010554,0,0,88912,2
NZ_CP021060,0,0,3488,0
NC_014722,0,0,13014,0
NZ_CP023074,0,0,1875,0
NZ_CP023074,1,0,3553,0
NC_015968,0,0,19625,0
NC_013720,0,0,2706,0
NZ_CP021377,0,0,15518,0
NZ_CP019640,0,0,3977,0
NZ_CP019640,1,0,2306,0
NZ_CP018888,0,0,2447,0
NZ_AP012544,0,0,4411,0
NZ_CP016174,0,0,27517,0
NZ_CP009286,0,0,3274,0
NZ_CP016210,0,0,51307,1
NC_022905,0,0,2206,0
NC_022906,0,0,8111,0
NC_013422,0,0,72411,2
NC_023063,0,0,1189,0
NZ_CP022096,0,0,20505,0
NZ_CP022096,1,0,18666,0
NZ_CP024610,0,0,267763,17
NZ_CP024610,1,0,266065,17
NZ_CP017269,0,0,4966,0
NZ_CP017269,1,0,3218,0
NZ_CP018135,0,0,38449,1
NZ_CP018135,1,0,40288,1
NC_009831,0,0,11293,0
NC_022663,0,0,4494,0
NC_022663,1,0,6682,0
NC_015945,0,0,60351,1
NC_023065,0,0,990426,22
NC_013385,0,0,1167,0
NZ_LN681225,0,0,8473,0
NZ_CP006950,0,0,52,0
NC_017098,0,0,8265,0
NZ_CP009429,0,0,145365,2
NC_018024,0,0,2896,0
NC_018024,1,0,4499,0
NZ_CP020028,0,0,52526,0
NZ_CP020028,1,0,54501,0
NC_015500,0,0,3292,0
NC_012912,0,0,78647,1
NZ_CP023465,0,0,14863,0
NC_012880,0,0,1966,0
NZ_CP017713,0,0,1299,0
NZ_CP017713,1,0,454,0
NC_013921,0,0,1622,0
NZ_CP010975,0,0,523,0
NC_013959,0,0,3194,0
NC_013959,1,0,1678,0
NZ_HG916765,0,0,79444,2
NC_016148,0,0,782,0
NC_016148,1,0,815,0
NZ_CP018866,0,0,302384,6
NZ_CP018866,1,0,304144,6
NC_012108,0,0,652,0
NC_014259,0,0,39,0
NC_012982,0,0,156,0
NZ_CP018058,0,0,5149,0
NZ_CP018725,0,0,112631,2
NC_012969,0,0,592,0
NZ_AP014940,0,0,26945,0
NC_014219,0,0,4345,0
NC_014219,1,0,2501,0
NC_012968,0,0,244,0
NC_012968,1,0,1950,0
NZ_CP022110,0,0,36784,1
NC_011837,0,0,11046,0
NC_011837,1,0,12836,0
NC_019904,0,0,4349,0
NZ_CP007039,0,0,7535,0
NC_016599,0,0,45390,1
NC_016599,1,0,43488,1
NC_014209,0,0,7829,0
NZ_CP007044,0,0,2391,0
NZ_CP014234,0,0,22889,0
NC_005043,0,0,3263,0
NZ_CP012033,0,0,4175,0
NZ_CP012033,1,0,2391,0
NC_014960,0,0,26170,0
NC_013939,0,0,5584,0
NC_004556,0,0,10960,0
NZ_CP016948,0,0,1266,0
NZ_CP014070,0,0,1688,0
NZ_CP011312,0,0,486,0
NC_014168,0,0,24015,0
NZ_CP008944,0,0,2269,0
NZ_CP008944,1,0,4752,0
NC_010162,0,0,26714,0
NZ_CP014544,0,0,13904,0
NZ_CP016538,0,0,3733,0
NZ_CP016538,1,0,5406,0
NZ_CP022088,0,0,74374,0
NZ_CP022088,1,0,71569,0
NZ_CP019699,0,0,4308,0
NC_015275,0,0,15953,0
NC_015275,1,0,13835,0
NZ_LT906462,0,0,1395,0
NZ_LT906462,1,0,3095,0
NZ_CP014136,0,0,1060,0
NC_002932,0,0,29313,1
NC_002932,1,0,31133,1
NZ_CP013107,0,0,11243,0
NC_014844,0,0,14761,0
NC_015673,0,0,1190,0
NC_015673,1,0,3612,0
NC_018691,0,0,2301,0
NZ_CP009220,0,0,23061,0
NZ_CP018863,0,0,41842,0
NZ_CP018863,1,0,43753,0
NC_010571,0,0,994607,16
NC_020291,0,0,6250,0
NC_020291,1,0,7988,0
NZ_CP011835,0,0,35786,0
NC_016894,0,0,3982,0
NC_013961,0,0,2788,0
NC_010263,0,0,13349,1
NZ_CP012152,0,0,11609,0
NZ_CP012152,1,0,13265,0
NC_014207,0,0,1784,0
NC_014500,0,0,1446,0
NC_020541,0,0,6733,0
NZ_CP017415,0,0,18,0
NZ_CP015941,0,0,138,0
NC_016024,0,0,8959,0
NC_015389,0,0,3399,0
NC_011891,0,0,32034,0
NZ_CP013659,0,0,157769,4
NZ_CP013659,1,0,159443,4
NZ_CP009577,0,0,34139,1
NZ_CP009577,1,0,32434,1
NC_016941,0,0,11267,0
NC_016941,1,0,9401,0
NC_016609,0,0,9507,0
NZ_CP020000,0,0,35083,0
NZ_CP023147,0,0,34163,0
NZ_CP018059,0,0,881,0
NC_010602,0,0,5385,0
NC_016641,0,0,1020,0
NC_016641,1,0,2965,0
NC_007912,0,0,8577,0
NZ_CP014223,0,0,895,0
NZ_AP017312,0,0,1765,0
NZ_AP017312,1,0,31,0
NC_010718,0,0,3043,0
NC_010718,1,0,4756,0
NC_015687,0,0,11235,0
NC_015687,1,0,9485,0
NC_010334,0,0,7644,0
NC_014762,0,0,89444,3
NZ_CP018835,0,0,8288,0
NZ_CP009416,0,0,1919,0
NC_004310,0,0,1690,0
NZ_CP013213,0,0,12649,0
NC_017672,0,0,49079,0
NC_017672,1,0,1717,0
NC_007519,0,0,11887,0
NZ_AP018165,0,0,1021,0
NC_015436,0,0,2140,0
NC_018002,0,0,3,0
NZ_CP016172,0,0,37896,0
NZ_CP008724,0,0,1937,0
NZ_CP008724,1,0,3790,0
NC_014230,0,0,766691,25
NZ_CP016171,0,0,7378,0
NZ_CP007212,0,0,4112,0
NZ_LT906464,0,0,962,0
NZ_LT906464,1,0,847,0
NZ_CP022046,0,0,18751,0
NZ_CP022046,1,0,20450,0
NC_010694,0,0,5933,0
NC_014136,0,0,2422,0
NZ_CP013451,0,0,1890,0
NC_013170,0,0,1638,0
NZ_CP012034,0,0,10359,0
NZ_CP012034,1,0,8637,0
NZ_CP011801,0,0,18411,0
NZ_CP012480,0,0,600,0
NC_013739,0,0,268494,4
NZ_CP012805,0,0,189,0
NZ_CP012805,1,0,1346,0
NC_023003,0,0,562,0
NZ_CP007031,0,0,3231,0
NZ_CP016268,0,0,26953,0
NC_014614,0,0,14742,0
NC_022997,0,0,163185,4
NZ_CP014170,0,0,546,0
NZ_CP014170,1,0,1270,0
NC_013457,0,0,7604,0
NZ_CP014784,0,0,23090,0
NC_019903,0,0,110,0
NZ_CP014525,0,0,738,0
NZ_CP007032,0,0,2215,0
NZ_CP007032,1,0,567,0
NZ_CP017237,0,0,2740,0
NZ_CP017237,1,0,4237,0
NZ_CP013341,0,0,2363,0
NZ_CP024969,0,0,6339,0
NZ_CP024969,1,0,7929,0
NC_004311,0,0,7144,0
NC_015635,0,0,10012,0
NC_015576,0,0,27,0
NZ_LT906451,0,0,863,0
NC_004605,0,0,404,0
NC_004193,0,0,6507,0
NC_004193,1,0,4686,0
NC_003318,0,0,8055,0
NC_015848,0,0,10,0
NC_015848,1,0,2098,0
NZ_CP009933,0,0,1295055,22
NZ_CP009933,1,0,1296825,22
NC_013595,0,0,3153,0
NC_013595,1,0,5442,0
NC_006300,0,0,44929,1
NZ_CP011541,0,0,5,0
NZ_CP011541,1,0,2327,0
NZ_CP015756,0,0,10998,0
NC_015914,0,0,53307,0
NZ_CP009354,0,0,2537,0
NZ_CP014204,0,0,1161515,37
NZ_CP014204,1,0,1163298,37
NC_007952,0,0,12473,0
NC_007953,0,0,29138,1
NZ_CP012678,0,0,14227,0
NZ_CP015108,0,0,12503,0
NZ_CP015108,1,0,14190,0
NC_004578,0,0,12893,0
NZ_CP015398,0,0,531,0
NZ_CP015398,1,0,2294,0
NC_015388,0,0,629349,19
NC_015875,0,0,1424,0
NC_015875,1,0,2970,0
NC_004603,0,0,256,0
NZ_LT906469,0,0,35766,0
NC_003317,0,0,2259,0
NC_013729,0,0,99665,1
NC_004545,0,0,742,0
NC_007624,0,0,844,0
NZ_CP009238,0,0,88,0
NZ_CP017702,0,0,4383,0
NZ_CP014782,0,0,30011,0
NZ_LN831776,0,0,2014,0
NC_010623,0,0,1708,0
NZ_CP018630,0,0,268,0
NZ_CP018630,1,0,1488,0
NC_011566,0,0,5167,0
NC_010676,0,0,10192,0
NZ_CP012264,0,0,9372,0
NC_016639,0,0,13578,1
NC_014970,0,0,1855,0
NZ_CP010271,0,0,49,0
NZ_CP012257,0,0,26949,0
NC_010794,0,0,14094,0
NZ_CP012559,0,0,2052,0
NZ_CP012154,0,0,6383,0
NC_013524,0,0,497540,39
NZ_CP024645,0,0,456496,7
NZ_CP020809,0,0,10453,0
NC_007511,0,0,422,0
NC_007509,0,0,326,0
NC_007510,0,0,37957,1
NC_010104,0,0,7147,0
NC_010103,0,0,1679,0
NZ_CP013402,0,0,1603,0
NZ_AP012273,0,0,11989,0
NC_014388,0,0,2620,0
NC_003361,0,0,1497,0
NC_017964,0,0,28106,0
NC_017584,0,0,129794,2
NC_013118,0,0,9105,0
NC_014817,0,0,1353,0
NZ_CP016539,0,0,9604,0
NZ_CP016539,1,0,11277,0
NZ_CP019401,0,0,1773,0
