RefSeq,D_idx,Z_idx,Distance
NC_009901,0,0,22357
NZ_CP010827,0,0,117
NC_009952,0,0,128843
NZ_CP010271,0,0,44
NZ_CP013652,0,0,4473
NZ_CP013652,1,0,2718
NC_010814,0,0,84827
NZ_CP012154,0,0,11741
NZ_CP019607,0,0,78196
NZ_CP022437,0,0,4214
NZ_CP022437,1,0,2436
NZ_LT906439,0,0,19983
NZ_CP017831,0,0,10039
NC_008340,0,0,20176
NZ_CP014933,0,0,336
NZ_CP014933,1,0,2015
NC_014963,0,0,334923
NZ_CP019688,0,0,82461
NZ_CP019401,0,0,2320
NZ_CP019401,1,0,646
NZ_CP020046,0,0,6329
NZ_CP009215,0,0,35539
NZ_CP009215,1,0,33344
NZ_CP007656,0,0,11583
NZ_CP020772,0,0,7959
NZ_CP020772,1,0,9741
NZ_CP009287,0,0,1524
NZ_AP014638,0,0,1985764
NZ_CP024035,0,0,3553
NZ_CP024035,1,0,1740
NC_011244,0,0,12690
NC_009465,0,0,1390
NC_008610,0,0,1816
NC_009495,0,0,44
NC_009495,1,0,1710
NZ_CP016022,0,0,174830
NC_011420,0,0,107489
NZ_CP016076,0,0,1853
NZ_CP008953,0,0,90532
NC_007604,0,0,44791
NZ_CP021780,0,0,3328
NZ_CP016543,0,0,3621
NZ_CP016543,1,0,1842
NZ_CP022464,0,0,4202
NZ_CP022464,1,0,2469
NZ_CP022752,0,0,3230
NZ_CP023501,0,0,2299
NZ_CP023501,1,0,445
NC_009828,0,0,741795
NZ_CP021983,0,0,785721
NZ_CP023074,0,0,2875
NZ_CP023074,1,0,4553
NC_004347,0,0,12496
NZ_CP008889,0,0,7117
NZ_CP013911,0,0,2883
NZ_CP013911,1,0,4728
NZ_CP016210,0,0,6687
NZ_CP017466,0,0,24582
NZ_CP017466,1,0,22735
NZ_CP024963,0,0,199843
NC_008825,0,0,12108
NC_008825,1,0,13789
NZ_CP024965,0,0,151
NZ_CP015622,0,0,26519
NZ_CP023011,0,0,28400
NZ_CP023011,1,0,30095
NC_009831,0,0,6550
NZ_CP023392,0,0,2499
NZ_CP023392,1,0,4136
NZ_CP009533,0,1,32042
NZ_CP013661,0,0,4401
NZ_CP013661,1,0,6077
NZ_CP014161,0,0,34053
NC_010505,0,1,1191486
NC_008358,0,1,47293
NZ_CP014164,0,0,57459
NZ_CP014164,1,0,55644
NC_013385,0,0,886
NC_004757,0,0,42363
NC_010729,0,0,389939
NZ_CP011104,0,0,2232
NZ_CP014322,0,0,101735
NC_004917,0,0,24706
NC_013009,0,0,229423
NC_006510,0,0,4072
NC_006510,1,0,5749
NZ_CP014842,0,0,5542
NZ_CP014842,1,0,7291
NZ_CP023465,0,0,22107
NZ_CP025197,0,0,23486
NZ_LT629973,0,0,1423330
NC_014259,0,0,56
NZ_LN879430,0,0,21943
NZ_CP016622,0,0,5317
NZ_CP016622,1,0,3639
NZ_CP015199,0,1,459629
NC_009937,0,0,3394
NC_014219,0,0,5251
NC_014219,1,0,3407
NC_007204,0,0,872
NZ_CP022272,0,0,3685
NZ_CP019650,0,0,51885
NC_013947,0,0,2164999
NC_013947,1,0,2167166
NZ_CP014616,0,0,10892
NZ_CP014616,1,0,9204
NC_013530,0,0,548320
NC_013530,1,0,546411
NZ_CP012024,0,0,4684
NZ_CP012024,1,0,2949
NZ_CP022129,0,1,737127
NZ_CP014945,0,0,75039
NZ_CP017962,0,0,2824
NC_007530,0,0,4737
NC_007530,1,0,6448
NZ_CP013254,0,1,11343
NZ_CP010899,0,0,11295
NZ_CP013239,0,0,405354
NZ_CP013239,1,0,403613
NC_003869,0,0,2274
NC_003869,1,0,582
NZ_LT906477,0,0,126
NC_005090,0,0,4459
NZ_CP020559,0,0,65215
NZ_CP020559,1,0,66969
NZ_LN885086,0,0,42325
NC_010162,0,0,72806
NZ_CP017305,0,0,1463
NZ_CP017305,1,0,364
NZ_CP013019,0,0,4712
NZ_CP013019,1,0,2926
NC_014814,0,0,8278
NC_014814,1,0,6218
NZ_CP014150,0,0,440
NZ_CP014150,1,0,1298
NC_011144,0,0,25276
NZ_CP015064,0,1,638730
NC_010830,0,0,26158
NC_010571,0,0,991788
NC_014334,0,0,2709
NC_014334,1,0,693
NZ_CP014989,0,0,192889
NZ_CP013235,0,0,63887
NZ_LT604074,0,0,1044
NZ_LT604074,1,0,2745
NC_016109,0,1,424558
NC_010263,0,1,15418
NZ_CP013236,0,0,90923
NC_011886,0,0,184691
NC_011886,1,0,186700
NC_007794,0,0,24887
NZ_LT906444,0,0,3884
NZ_LT906444,1,0,5588
NZ_CP018622,0,0,6242
NZ_CP018622,1,0,4220
NZ_CP013979,0,1,94154
NC_012039,0,0,1065
NC_007164,0,0,16099
NC_007164,1,0,13687
NZ_CP007519,0,0,16566
NZ_LT906460,0,0,19812
NZ_LT906460,1,0,17966
NZ_CP010413,0,0,409223
NC_011295,0,0,28124
NZ_CP007287,0,0,3853
NZ_CP007287,1,0,1658
NC_011297,0,0,1845
NZ_CP022544,0,0,23495
NZ_CP022544,1,0,25484
NZ_CP017689,0,0,312
NC_011959,0,1,193448
NC_011978,0,0,25399
NC_011891,0,0,12795
NZ_CP009251,0,0,43651
NZ_CP009251,1,0,41046
NZ_CP013910,0,1,148999
NC_007614,0,0,17085
NC_010572,0,1,5654
NZ_CP014143,0,0,15417
NZ_CP014141,0,0,171193
NZ_CP016826,0,0,941
NZ_CP016826,1,0,3360
NC_009092,0,0,15966
NC_010602,0,0,6517
NC_010175,0,0,2016646
NZ_CP019962,0,0,7826
NZ_CP019962,1,0,9607
NC_011060,0,1,514414
NC_011060,1,1,512574
NZ_LT593929,0,0,8881
NC_010718,0,0,5062
NC_010718,1,0,6775
NC_008700,0,0,2178
NC_007575,0,0,1357
NC_007575,1,0,2798
NC_010334,0,0,11396
NZ_CP011269,0,0,8334
NC_020449,0,0,20371
NC_020449,1,0,22417
NC_008278,0,0,21670
NC_011831,0,0,2274368
NZ_LN999833,0,1,80791
NZ_CP025003,0,0,3308
NC_009483,0,0,44822
NC_009483,1,0,46420
NC_011894,0,0,2381096
NC_008578,0,0,13092
NC_008578,1,0,11167
NC_009437,0,0,50639
NC_009437,1,0,48788
NZ_CP016172,0,0,39013
NZ_FO704550,0,0,1797
NZ_CP016176,0,0,70778
NZ_CP016171,0,0,19205
NC_010694,0,0,2265
NC_013170,0,0,2195
NC_008709,0,0,1186
NC_020990,0,0,3418756
NC_013739,0,0,304721
NC_023003,0,0,562
NC_010001,0,0,10192
NC_009767,0,0,456710
NC_008027,0,0,36999
NZ_CP008876,0,1,4595
NZ_CP008876,1,1,6343
NC_013235,0,0,55919
NC_013235,1,0,53741
NZ_CP011381,0,0,9231
NC_013595,0,0,3661
NC_013595,1,0,5950
NZ_CP014699,0,0,981
NC_009486,0,0,25046
NC_013131,0,1,8630
NC_013131,1,1,6332
NC_013523,0,0,213649
NZ_CP017184,0,0,2605
NC_013729,0,0,85808
NC_009719,0,1,89381
NC_010003,0,0,575169
NC_011146,0,0,5972
NC_011146,1,0,7591
NZ_CP014835,0,0,9929
NZ_CP014835,1,0,8384
NZ_CP019573,0,1,13536
NC_009142,0,0,185288
NC_010794,0,0,31391
NZ_CP020809,0,0,9727
NZ_CP015839,0,0,16547
NC_007510,0,0,44386
NZ_CP015196,0,0,1386
NC_010103,0,0,3092
NC_013892,0,0,92312
NZ_CP011366,0,0,103644
NZ_CP011366,1,0,105295
NC_011653,0,0,737448
NZ_CP009922,0,1,2311
NZ_CP019698,0,0,118004
NZ_CP009896,0,0,5754
NZ_CP007501,0,0,649
NZ_CP007501,1,0,996
NC_008571,0,0,15296
NC_008571,1,0,17206
NC_013223,0,0,22682
NC_013216,0,0,1995
NZ_CP015519,0,0,712
NC_013061,0,0,10853
NZ_CP013197,0,0,6179
NC_010725,0,1,1511992
NZ_CP024411,0,0,118
NZ_CP024411,1,0,1477
NC_015564,0,0,64142
NZ_CP009170,0,0,7860
NC_016751,0,0,6973
NZ_CP019323,0,0,336
NC_009505,0,0,3107
NC_013132,0,0,1848
NZ_CP006568,0,0,532440
NC_016946,0,0,60125
NZ_CP014870,0,0,30645
NC_010644,0,0,4370
NZ_CP025491,0,0,1013914
NC_014010,0,0,121
NC_013093,0,1,522459
NZ_CP013401,0,0,45247
NC_013172,0,0,390603
NZ_CP013398,0,0,43713
NC_014151,0,0,1158698
NC_014151,1,0,1160945
NC_013521,0,1,1349997
NC_015559,0,0,3480
NZ_CP018321,0,0,18056
NZ_CP009679,0,0,4753
NZ_CP009679,1,0,3011
NZ_CP011036,0,0,12895
NC_014964,0,0,12730
NC_017096,0,0,4034
NC_014014,0,1,272656
NC_014014,1,1,274162
NZ_CP024727,0,0,45689
NZ_CP016809,0,0,195
NZ_CP016809,1,0,1944
NC_017093,0,0,26095
NC_013510,0,0,40113
NC_013510,1,0,42959
NZ_CP012643,0,0,8623
NC_012669,0,0,1424
NC_012669,1,0,3437
NZ_CP012400,0,1,10634
NZ_CP017715,0,0,12703
NC_014109,0,1,112612
NC_013037,0,0,23092
NC_012778,0,0,9299
NC_012778,1,0,7537
NC_014387,0,0,82
NC_014387,1,0,1763
NC_013159,0,0,3396
NC_011661,0,0,267832
NZ_LN849456,0,0,4158
NZ_LN849456,1,0,6339
NC_011027,0,0,39296
NC_011027,1,0,37358
NC_013960,0,0,89
NC_011026,0,0,18113
NZ_AP012322,0,0,7216
NC_013501,0,0,51
NZ_CP016768,0,0,8008
NZ_CP016768,1,0,6290
NZ_CP016773,0,0,542316
NZ_CP016773,1,0,544037
NZ_CP016775,0,0,24822
NZ_CP016775,1,0,26548
NC_013515,0,0,575
NZ_CP014007,0,0,128987
NZ_CP016776,0,0,18566
NZ_CP016776,1,0,16872
NZ_CP016780,0,0,55484
NZ_CP016780,1,0,53715
NZ_CP017267,0,0,6482
NZ_CP017267,1,0,8137
NZ_CP016770,0,0,21964
NZ_CP016770,1,0,23688
NC_015921,0,0,12599
NZ_CP016771,0,0,43036
NZ_CP016771,1,0,44791
NZ_CP016779,0,1,4278
NZ_CP016779,1,1,2542
NC_012785,0,0,98271
NC_013203,0,0,34549
NC_013203,1,0,36237
NZ_CP016953,0,0,356
NZ_CP016953,1,0,1198
NC_014501,0,0,2522982
NC_010337,0,0,30862
NZ_CP014176,0,1,229
NZ_CP014176,1,1,1556
NC_014158,0,0,22993
NZ_CP010822,0,0,88933
NC_013162,0,1,478502
NC_013205,0,0,1819
NC_013205,1,0,109
NC_012034,0,0,4373
NC_013440,0,0,10628
NC_014148,0,0,274725
NZ_CP011158,0,0,625
NC_015684,0,0,77257
NC_010503,0,0,205271
NZ_CP014226,0,0,1176295
NC_013943,0,0,13671
NC_013166,0,0,4520
NZ_CP021060,0,0,3553
NC_013517,0,0,22404
NC_013192,0,0,1054
NC_013192,1,0,1031
NC_012881,0,0,2664
NC_013173,0,0,394947
NC_014150,0,0,5789
NC_013512,0,0,4604
NC_013522,0,0,57999
NC_013522,1,0,59646
NC_013525,0,0,352832
NC_013757,0,0,38107
NC_013124,0,0,15042
NC_013124,1,0,13465
NZ_CP016174,0,0,75127
NC_013441,0,0,38290
NC_013441,1,0,36192
NZ_CP015208,0,0,55233
NZ_CP015208,1,0,57028
NC_014212,0,0,33537
NC_015675,0,0,33301
NZ_CP012401,0,0,77617
NZ_CP018092,0,1,272485
NC_010554,0,0,88977
NZ_CP011803,0,0,1694
NZ_CP011803,1,0,75
NZ_CP022684,0,0,8999
NZ_LT906441,0,0,1736
NZ_CP022413,0,0,9532
NZ_CP022413,1,0,7656
NC_013720,0,0,3113
NZ_CP018799,0,0,3418
NZ_CP009429,0,0,149807
NC_013422,0,0,70829
NZ_CP018135,0,0,752546
NZ_CP018135,1,0,750707
NC_022663,0,0,6741
NC_022663,1,0,8929
NC_011963,0,0,33869
NC_015578,0,0,4205
NC_015577,0,1,160616
NC_015577,1,1,158903
NZ_CP006764,0,0,9809
NZ_CP006764,1,0,7395
NC_015714,0,0,1340
NZ_CP018866,0,0,302457
NZ_CP018866,1,0,304217
NC_016630,0,0,18289
NC_016630,1,0,20106
NC_015437,0,0,5613
NZ_CP018058,0,0,6427
NZ_CP017694,0,0,5526
NZ_CP017694,1,0,3850
NC_012526,0,0,7930
NC_012590,0,0,542
NC_012590,1,0,2793
NZ_CP015010,0,0,247486
NC_012912,0,0,87532
NC_014246,0,0,815378
NZ_CP022132,0,0,9797
NC_012880,0,0,3116
NZ_CP012750,0,0,4162
NZ_CP012750,1,0,2232
NC_014541,0,0,2624
NC_013921,0,0,2575
NZ_CP014234,0,0,555838
NC_013959,0,0,1057388
NC_013959,1,0,1058904
NC_014248,0,0,126377
NC_016148,0,0,1131
NC_016148,1,0,466
NC_012982,0,0,217
NC_012969,0,0,379
NC_014313,0,0,291628
NZ_CP014070,0,0,2636
NC_012968,0,0,115
NC_012968,1,0,1821
NC_014370,0,0,10644
NZ_CP011312,0,0,891
NC_011837,0,1,23977
NC_011837,1,1,22187
NZ_LT906473,0,0,3740
NZ_LT906473,1,0,1400
NZ_CP018044,0,0,84059
NC_014008,0,1,33
NC_014209,0,0,13041
NZ_CP022088,0,0,125606
NZ_CP022088,1,0,122801
NZ_CP021359,0,0,490391
NZ_CP012033,0,0,4706
NZ_CP012033,1,0,2922
NC_013894,0,0,168150
NC_013939,0,0,11548
NC_011047,0,0,142413
NC_014377,0,0,25277
NC_014217,0,0,1172755
NZ_LN824141,0,0,36804
NC_014168,0,0,24018
NZ_CP018863,0,0,61573
NZ_CP018863,1,0,63484
NC_014098,0,0,2898
NC_016803,0,0,29099
NC_014506,0,0,631
NC_015275,0,0,22874
NC_015275,1,0,20756
NZ_LT906462,0,0,3222
NZ_LT906462,1,0,4922
NZ_CP021497,0,0,3856
NC_015138,0,0,54544
NC_015067,0,0,611650
NC_015067,1,0,609621
NZ_CP021874,0,0,29553
NZ_CP021874,1,0,27798
NC_014844,0,0,14184
NC_011374,0,0,101145
NC_015673,0,0,1987
NC_015673,1,0,4409
NC_020995,0,0,22898
NC_020995,1,0,21226
NZ_AP012325,0,0,325
NC_012926,0,0,88
NC_012926,1,0,1443
NC_013119,0,0,3106
NC_013961,0,0,3496
NZ_CP018845,0,0,1804289
NZ_CP011112,0,0,20632
NZ_CP022315,0,0,5088
NZ_CP022315,1,0,3331
NZ_CP011542,0,0,5821
NZ_CP011542,1,0,3202
NZ_CP023563,0,1,903192
NC_013851,0,0,112157
NC_017455,0,0,1219
NC_017455,1,0,600
NZ_CP022316,0,1,1144454
NC_014166,0,0,71397
NC_014207,0,0,1739
NC_014632,0,0,8080
NZ_CP022358,0,0,22915
NZ_CP016502,0,0,8672
NC_020541,0,0,7323
NC_014011,0,0,990
NC_014011,1,0,2626
NC_015681,0,0,1066172
NC_015164,0,0,19358
NC_014393,0,0,10980
NC_014393,1,0,9233
NC_015389,0,0,6382
NC_014816,0,0,7309
NZ_CP022741,0,0,6036
NC_016609,0,0,25112
NC_012796,0,0,1810915
NC_012796,1,0,1812942
NZ_CP023147,0,0,83249
NC_014364,0,0,68
NZ_CP022989,0,0,3806
NC_015696,0,0,34424
NZ_CP016796,0,0,27008
NZ_CP016782,0,0,354598
NZ_CP011253,0,0,16389
NC_018025,0,0,628922
NC_014378,0,0,2740
NC_014378,1,0,971
NC_013532,0,0,308165
NC_011726,0,1,337397
NZ_AP017457,0,0,195979
NZ_AP017457,1,0,197723
NC_015153,0,0,5767
NZ_CP007212,0,0,4338
NC_014762,0,0,91105
NC_014958,0,1,215183
NC_014962,0,1,1503616
NZ_CP023445,0,1,560858
NC_014830,0,0,116053
NC_014972,0,0,201859
NZ_CP011801,0,0,37854
NZ_CP024955,0,0,2816
NZ_CP024955,1,0,1130
NC_014216,0,0,62040
NC_014330,0,0,442
NC_015436,0,0,2351
NZ_CP008849,0,0,13895
NC_015318,0,0,182307
NZ_CP014784,0,0,24121
NC_013642,0,1,25048
NC_018002,0,0,4
NC_013592,0,0,35949
NZ_CP011451,0,0,381672
NC_015510,0,0,1014894
NZ_CP013341,0,0,4220
NC_015514,0,0,4420
NZ_CP014229,0,0,4218
NC_014363,0,1,614299
NC_004556,0,0,10446
NC_014375,0,1,129345
NC_016027,0,0,1130260
NC_014306,0,0,4406
NC_012846,0,0,22
NZ_CP008944,0,0,2523
NZ_CP008944,1,0,5006
NZ_CP016538,0,0,1778
NZ_CP016538,1,0,105
NC_014012,0,0,30609
NC_002932,0,0,18724
NC_002932,1,0,16904
NC_014220,0,0,4068
NC_014220,1,0,2593
NZ_CP013107,0,0,14955
NC_014759,0,0,15376
NC_014365,0,0,30861
NC_004369,0,0,113597
NC_004113,0,0,297863
NC_014391,0,0,229237
NC_014831,0,0,6033
NC_012704,0,0,3216
NC_012704,1,0,582
NC_015172,0,0,4
NC_015172,1,0,1592
NZ_CP012152,0,0,28630
NZ_CP012152,1,0,30286
NC_018068,0,0,1647
NC_018068,1,0,23
NC_014664,0,0,1104411
NC_014500,0,0,1597
NC_014926,0,0,763197
NC_014655,0,0,4302
NZ_CP013659,0,0,78642
NZ_CP013659,1,0,80316
NC_014221,0,0,24437
NZ_CP009577,0,0,27924
NZ_CP009577,1,0,26219
NZ_CP007715,0,0,399
NC_014829,0,0,10203
NC_014829,1,0,8303
NC_018645,0,0,704519
NC_007912,0,0,10508
NC_014836,0,0,9019
NC_012438,0,0,694050
NC_008009,0,0,461481
NC_004310,0,0,3108
NC_014041,0,0,24802
NZ_CP010897,0,0,18165
NC_007519,0,0,16476
NZ_CP011807,0,0,15514
NZ_CP013745,0,0,11569
NZ_CP013745,1,0,13537
NC_014654,0,0,4355
NC_014654,1,0,6185
NZ_CP023173,0,0,62
NC_014230,0,0,776564
NC_014774,0,0,290956
NC_017934,0,0,677
NC_013861,0,0,606
NZ_CP006664,0,0,2284
NC_011768,0,0,2731661
NC_004551,0,0,203737
NZ_CP016282,0,1,20657
NZ_CP024969,0,0,11083
NZ_CP024969,1,0,12673
NC_014761,0,0,233471
NC_004193,0,0,9836
NC_004193,1,0,8015
NC_006300,0,0,22595
NC_007798,0,0,4162
NC_004578,0,0,17891
NC_004603,0,0,191
NC_000918,0,0,167863
NC_003317,0,0,3022
NC_004545,0,0,2754
NZ_CP014782,0,0,50628
NC_011566,0,0,188
NZ_CP025257,0,0,5030
NC_003155,0,1,5609
NC_003361,0,0,2279
NC_012483,0,0,600589
NZ_CP014912,0,0,191267
NZ_CP014912,1,0,189537
NC_005027,0,0,29934
NC_002620,0,0,112
NC_002939,0,0,672226
NC_002939,1,0,674088
NC_002977,0,0,876
NC_005126,0,0,132214
NC_000908,0,0,1883
NC_023151,0,0,25555
NC_002967,0,0,133818
NZ_CP014606,0,0,282
NZ_CP015639,0,1,27151
NC_007503,0,0,1347
NC_007503,1,0,341
NC_009446,0,0,3301
NC_008095,0,0,8005
NC_003911,0,0,3458
NZ_AP013028,0,1,278912
NC_006361,0,0,39299
NC_006361,1,0,36582
NZ_CP019628,0,0,203
NZ_LT906470,0,0,2753
NZ_LT906470,1,0,661
NZ_LT906463,0,0,38535
NC_005125,0,1,1133734
NC_019695,0,0,2605020
NZ_CP014864,0,0,9790
NC_010556,0,0,17291
NC_010556,1,0,19152
NC_015434,0,0,6062
NC_005861,0,0,146705
NC_007899,0,0,59
NC_006526,0,0,6680
NC_007947,0,0,286
NC_006055,0,0,17
NC_008148,0,0,48110
NC_007951,0,0,50853
NC_009664,0,0,448541
NC_006908,0,0,112249
NC_007354,0,0,11613
NC_008255,0,0,16151
NC_007517,0,0,9958
NC_007517,1,0,11562
NZ_CP022604,0,0,153763
NC_019771,0,0,297607
NC_002570,0,0,1724
NC_002570,1,0,8
NC_011830,0,0,2062
NC_011830,1,0,408
NC_011365,0,0,57271
NC_012988,0,0,530661
NC_004432,0,0,566836
NC_002663,0,1,465
NC_014034,0,1,69393
NC_003103,0,1,14138
NC_006512,0,0,9980
NC_010168,0,0,37301
NC_010168,1,0,38997
NC_011296,0,0,7525
NC_010803,0,0,5109
NC_008639,0,0,57890
NC_009792,0,0,80380
NC_007963,0,0,1291
NC_011059,0,0,4715
NC_012962,0,0,72721
NC_007292,0,0,2338
NC_006177,0,0,833
NC_006177,1,0,2537
NC_019675,0,0,587863
NC_006833,0,0,527542
NZ_CP009108,0,0,3127
NZ_CP009108,1,0,4876
NC_009881,0,0,23712
NC_009633,0,0,115672
NC_009633,1,0,113877
NZ_CP015438,0,0,6227
NZ_CP015438,1,0,4538
NZ_CP017560,0,0,16882
NC_014666,0,0,7049
NZ_CP017279,0,0,2605
NC_006461,0,0,90
NC_009379,0,0,778
NC_009379,1,0,2448
NC_018721,0,1,27466
NC_013222,0,0,58069
NC_014414,0,0,13968
NZ_CP018029,0,0,6630
NC_008710,0,0,12900
NZ_CP011856,0,0,648
NC_011979,0,0,4735
NC_011979,1,0,3082
NC_011312,0,0,11132
NC_008048,0,0,399311
NC_007954,0,0,10231
NC_008345,0,0,16051
NC_007512,0,0,43942
NC_008025,0,0,6878
NC_012026,0,0,49180
NZ_CP010896,0,0,1661
NC_012560,0,0,50493
NC_007964,0,0,39506
NC_007406,0,1,122083
NC_007484,0,0,3919
NC_009925,0,0,250
NZ_CP011494,0,0,28358
NZ_CP022043,0,0,1050
NC_015713,0,0,4423
NC_017287,0,0,117
NC_010793,0,1,313155
NC_008344,0,0,155855
NC_008346,0,0,22
NC_008554,0,0,1508199
NC_007205,0,0,22268
NC_007498,0,0,502
NC_008609,0,0,1178
NC_007908,0,0,35619
NC_007633,0,0,11708
NC_010321,0,0,620
NC_007626,0,0,3882
NZ_CP009788,0,0,3226
NZ_CP012621,0,0,8919
NC_008789,0,0,1320066
NC_009253,0,0,8794
NC_009253,1,0,7162
NC_007645,0,0,2720
NC_008726,0,0,1471
NC_008726,1,0,3542
NC_009922,0,0,7105
NC_009922,1,0,5326
NC_007618,0,0,3091
NC_008599,0,0,961
NC_009714,0,0,1349
NC_010645,0,0,6913
NZ_CP012622,0,0,146
NZ_CP018193,0,0,6356
NC_008781,0,0,7009
NC_008781,1,0,8936
NC_015677,0,0,933329
NZ_CP017754,0,0,324919
NZ_CP023422,0,0,165100
NC_009380,0,0,8781
NC_011899,0,0,446
NC_011899,1,0,2362
NZ_CP014873,0,0,264
NZ_CP014873,1,0,1450
NZ_LT906451,0,0,1436
NC_009441,0,0,1149595
NZ_CP012678,0,0,25858
NZ_CP018630,0,0,268
NZ_CP018630,1,0,1488
NZ_CP014262,0,0,12455
NZ_CP011254,0,0,1472
NZ_LT853882,0,0,196183
NZ_CP022121,0,0,2286
NZ_CP022121,1,0,615
NZ_CP012294,0,0,1458
NZ_CP014872,0,0,1104
NZ_CP014872,1,0,586
NC_019693,0,0,180890
NZ_CP016878,0,0,135233
NC_007759,0,0,6982
NZ_CP016312,0,0,19561
NZ_LT907975,0,1,546
NZ_CP010028,0,0,7390
NC_017448,0,0,21939
NZ_CP008802,0,0,246184
NZ_CP008802,1,0,243885
NZ_CP011503,0,0,43999
NZ_CP021047,0,0,8155
NZ_CP018199,0,0,20536
NZ_CP018199,1,0,22376
NC_022549,0,0,34807
NC_013929,0,1,2347923
NC_016631,0,0,230885
NC_013740,0,0,21437
NC_013740,1,0,20347
NC_013740,2,0,18729
NC_013740,3,0,23123
NC_015671,0,0,14318
NZ_CP010427,0,0,14169
NC_012691,0,0,6611
NC_012115,0,0,111
NC_013891,0,0,17863
NC_013891,1,0,19568
NC_014392,0,0,12738
NC_014392,1,0,10725
NC_017161,0,1,6359
NC_015707,0,0,26920
NC_014376,0,0,4501
NC_014376,1,0,2765
NC_014934,0,0,77021
NZ_CP008998,0,0,56554
NC_016629,0,0,86666
NC_011753,0,0,7496
NC_017449,0,0,1847
NZ_CP018776,0,0,20040
NZ_CP018776,1,0,21848
NC_016901,0,0,18572
NC_015161,0,0,59369
NZ_LT906447,0,0,3777
NZ_LT906447,1,0,5588
NC_014933,0,0,27058
NC_014734,0,0,1103298
NC_017910,0,0,21776
NC_017470,0,0,1589
NC_014932,0,0,16032
NC_014652,0,0,12654
NC_014652,1,0,10957
NZ_CP007496,0,0,1106
NC_015722,0,0,378
NZ_CP012507,0,0,4725
NC_014721,0,0,14602
NC_014721,1,0,12904
NC_015589,0,0,1517
NC_015589,1,0,129
NC_014720,0,0,69701
NC_014657,0,0,1402
NC_014657,1,0,297
NZ_CP019959,0,0,7294
NZ_CP012502,0,0,1565
NZ_CP012502,1,0,237
NC_015520,0,0,9264
NC_015520,1,0,7572
NC_015958,0,0,2643
NC_014833,0,0,34455
NC_014833,1,0,32483
NC_018704,0,0,10621
NC_018704,1,0,8873
NZ_CP024962,0,0,7817
NC_020059,0,0,11046
NZ_CP021323,0,0,32078
NC_019970,0,0,35641
NC_013895,0,0,97142
NZ_CP018420,0,0,10783
NZ_CP007029,0,0,6560
NC_015554,0,0,6577
NZ_CP024159,0,0,21233
NC_014225,0,0,40685
NZ_CP019343,0,0,58060
NC_015672,0,0,1256
NC_015672,1,0,429
NC_019897,0,0,217272
NZ_CP007030,0,0,4674
NC_015581,0,0,17945
NC_015276,0,0,25559
NZ_CP024964,0,0,12
NZ_CP023668,0,0,6004
NC_016627,0,0,22460
NC_016627,1,0,24369
NZ_CP019240,0,0,499672
NC_015588,0,1,534740
NC_015588,1,1,536645
NZ_CP007520,0,0,143
NZ_CP009159,0,0,693
NC_015732,0,0,364
NZ_CP011530,0,0,82
NC_017790,0,0,1718
NC_018013,0,0,9909
NZ_CP013990,0,0,90964
NC_015499,0,0,1580
NC_019978,0,0,2502
NC_019978,1,0,804
NC_014328,0,0,9697
NC_014328,1,0,11475
NC_014935,0,0,3404
NZ_CP009687,0,0,0
NZ_CP009687,1,0,1770
NC_019973,0,0,15835
NC_017857,0,0,6110
NC_017856,0,0,12647
NC_019776,0,1,594612
